Gene_ID	MetStarve16h_Control_rep1	MetStarve16h_Control_rep2	MetStarve16h_Control_rep3	MetStarve16h_Starvation_rep1	MetStarve16h_Starvation_rep2	MetStarve16h_Starvation_rep3
ENSG00000000003.15	640	697	714	560	520	538
ENSG00000000005.6	0	0	0	0	2	0
ENSG00000000419.14	2802	3751	3527	3862	3379	3020
ENSG00000000457.14	436	384	323	216	210	525
ENSG00000000460.17	1035	1225	1172	645	626	713
ENSG00000000938.13	0	0	0	0	0	0
ENSG00000000971.17	0	0	0	0	0	0
ENSG00000001036.14	2226	2466	2108	1428	1433	1634
ENSG00000001084.13	1334	1466	1313	1173	1083	1176
ENSG00000001167.15	1290	899	891	1279	1227	2429
ENSG00000001460.18	67	56	60	121	102	144
ENSG00000001461.17	509	231	220	251	192	699
ENSG00000001497.18	653	814	757	330	316	341
ENSG00000001561.7	580	616	549	708	659	757
ENSG00000001617.12	1043	1232	1249	2125	2068	1792
ENSG00000001626.18	1	0	0	5	5	17
ENSG00000001629.10	5624	5844	5705	6989	6623	7648
ENSG00000001630.18	1162	1692	1463	822	855	748
ENSG00000001631.17	1920	1381	1346	1189	787	1674
ENSG00000002016.18	329	258	239	181	162	327
ENSG00000002079.14	1	1	0	0	0	1
ENSG00000002330.14	754	1483	1326	1311	1449	851
ENSG00000002549.13	876	483	466	254	196	684
ENSG00000002586.20	0	0	0	0	0	0
ENSG00000002586.20_PAR_Y	0	0	0	0	0	0
ENSG00000002587.10	8	6	13	9	17	13
ENSG00000002726.21	4	0	2	2	0	0
ENSG00000002745.13	0	0	0	0	0	0
ENSG00000002746.15	0	2	2	0	2	1
ENSG00000002822.16	15	39	40	28	45	31
ENSG00000002834.18	4094	4337	3996	2449	2298	2789
ENSG00000002919.15	925	986	960	2084	2070	2079
ENSG00000002933.9	0	0	0	0	0	0
ENSG00000003056.8	2026	3093	2838	3599	3654	2606
ENSG00000003096.15	68	63	52	47	48	69
ENSG00000003137.9	415	350	339	67	77	150
