baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	3766.25256240547	-1.11985706898027	0.0939083352401122	-11.9250018235009	8.76821062336712e-33	3.21501056190128e-32
Arg	13509.1480224875	0.455965440923466	0.0727946704311607	6.263720107843	3.75899929893712e-10	8.26979845766167e-10
Asn	3943.8040520047	-0.1733845287177	0.0978698925144753	-1.77158188553293	0.076463988839863	0.0885372502356308
Asp	11757.6780566188	0.19867997836408	0.089075240267767	2.23047367334438	0.0257160133298831	0.0404108780898162
Cys	3498.16403299884	-1.34488840345246	0.107854936335778	-12.4694191025758	1.09622251113342e-35	4.82337904898707e-35
Gln	8654.96520755114	-0.676301429403579	0.0949772089339754	-7.12067070610295	1.07403117310257e-12	2.62540953425072e-12
Glu	8214.31370290797	-0.168730295755217	0.0778484486027543	-2.16742014495646	0.0302028325841593	0.0415288948032191
Gly	19135.7520535794	-0.139593312828686	0.0748934784245535	-1.86389143307465	0.0623369520368825	0.0761896080450787
His	5432.29324413101	-0.57725039438525	0.187668997350316	-3.07589640556193	0.00209870748399138	0.00384763038731752
Ile	7592.38487351486	2.88621152289742	0.0856392416150397	33.7019743340482	5.40824632463865e-249	5.94907095710251e-248
Leu	12625.7793405027	-0.22615561975622	0.080347366111135	-2.81472350249049	0.00488192172059238	0.00826171368100249
Lys	10993.0519726952	1.68737803552511	0.0775724682474823	21.7522798184249	6.57308841426153e-105	4.82026483712512e-104
Met	5139.35710519787	3.39993866312321	0.0935612986746783	36.3391563743159	3.898164632489e-289	8.5759621914758e-288
Phe	1802.95682170767	0.186705783867165	0.120731050666247	1.54646035826608	0.12199342680604	0.134192769486644
Pro	15287.4168543213	1.19367892877523	0.107316031436564	11.123025262827	9.69284556047873e-29	3.04632289043617e-28
SeC	277.202265921832	0.421787381134855	0.226119186022752	1.86533212220397	0.0621348652665992	0.0761896080450787
Ser	15123.6629113562	-0.193733516272364	0.0883904847871881	-2.19179153433544	0.0283945626763703	0.0415288948032191
Thr	2999.80263869466	-0.121527764940232	0.098256350597316	-1.23684387015644	0.216145051645968	0.226437673152919
Trp	1960.2887364254	-1.10951054495213	0.111120162834681	-9.98478148923166	1.77692155369175e-23	4.88653427265232e-23
Tyr	755.761863174877	0.769995781300858	0.182682659786144	4.21493633934522	2.49848655694694e-05	4.99697311389388e-05
Val	7127.7471745256	-0.0933528618889529	0.0891326325040585	-1.04734774757945	0.294939221772014	0.294939221772014
iMet	7325.53103285953	1.09529386129526	0.0871160406621498	12.5728149829834	2.97923849874993e-36	1.63858117431246e-35
