baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	14977.1952258948	-0.869089865222291	0.0616057372622419	-14.107287792414	3.42499068147642e-45	1.25582991654135e-44
Arg	35319.2990673795	-0.169099164545842	0.0581882248715749	-2.90607188858321	0.00365997351790696	0.00536796115959687
Asn	11540.9049071708	0.0292947594672281	0.0610100395260878	0.480162932113848	0.631111542230391	0.631111542230391
Asp	37331.391105009	0.0609102452333501	0.053396419454611	1.14071778324249	0.253987383783975	0.310429024624859
Cys	11189.7619448638	-0.689093341054247	0.0712052060630293	-9.67756964911071	3.75536822056933e-22	9.17978898361392e-22
Gln	33264.3900923557	0.0467052453234524	0.064310804401801	0.726242592638826	0.467690065292208	0.489961020782313
Glu	28350.5211835715	0.0640829584679078	0.0630519637272735	1.01635150881412	0.309462028277922	0.358324453795489
Gly	69644.8244822083	-0.16691164736044	0.0600766469476211	-2.77831163756467	0.00546421839960531	0.00709605872230856
His	24256.604523442	0.746809757375697	0.0560872333099976	13.3151470183604	1.89000046735196e-40	5.19750128521789e-40
Ile	13976.2866312667	1.86828023259646	0.0959536729698501	19.4706484366002	1.9479011385872e-84	1.07134562622296e-83
Leu	44362.3395928384	-0.245648985522688	0.0602365195742064	-4.07807401986545	4.54103106543114e-05	7.13590595996322e-05
Lys	25067.4554273324	0.923852134029315	0.0692182849470749	13.3469376586794	1.23419150938771e-40	3.87888760093279e-40
Met	11204.5917169842	2.33412945974262	0.0838257242848627	27.8450258516182	1.23738732027355e-170	2.7222521046018e-169
Phe	7211.25044045907	0.487038088264995	0.0815842126652407	5.96975900550058	2.3760428787239e-09	4.02099564091737e-09
Pro	36922.0025859324	0.567933300032934	0.0773835791845057	7.33919658431423	2.14879803055389e-13	4.29759606110778e-13
SeC	303.153326260577	-0.578427115789456	0.208278751068283	-2.77717776212237	0.00548331810360207	0.00709605872230856
Ser	43189.580292875	-0.426657077088711	0.0609545690483663	-6.99959139650658	2.56710073081642e-12	4.7063513398301e-12
Thr	10457.7887881201	-0.0552810827556579	0.0578038779645731	-0.956355952269131	0.338892430530454	0.3727816735835
Trp	6024.0161666695	-1.46194233545684	0.0695233123153433	-21.0280880868531	3.62986522831388e-98	2.66190116743018e-97
Tyr	2900.4772229758	1.260619264147	0.0868512622705424	14.5146913377052	9.77969106604921e-48	4.30306406906165e-47
Val	22901.0299968594	-0.548386941224469	0.0640821706019338	-8.5575587729533	1.15282611450987e-17	2.53621745192171e-17
iMet	22018.7349369964	1.29428305764285	0.0610825447098233	21.189082147632	1.20421831053857e-99	1.32464014159243e-98
