baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	3857.99767642078	-0.0687015635126077	0.0874330030916145	-0.78576236756526	0.432006717399012	0.559067516634016
Arg	14332.4421944983	0.392625615529635	0.0863108432896757	4.54897207077341	5.39085964675196e-06	5.92994561142716e-05
Asn	4335.53459535448	-0.00700978597102372	0.0811227887363151	-0.086409578371481	0.931140832972325	0.931140832972325
Asp	13814.4523461845	-0.083330837751578	0.0850105062888021	-0.980241635880654	0.326966856720691	0.470573136872759
Cys	3163.07894959531	-0.0275686781879269	0.0918420752924057	-0.300174817480485	0.764043812605435	0.805875227563088
Gln	11631.6521382175	-0.242748619783451	0.0927251646591858	-2.61793678852641	0.00884631906770349	0.0278027170699252
Glu	10594.9387671301	-0.0574297119753516	0.0872286857895146	-0.658381029767332	0.510293322043442	0.590865951839775
Gly	24661.3515459353	0.0227975609897851	0.0777110401968058	0.293363220104242	0.76924453540113	0.805875227563088
His	10174.8958622043	-0.33028589303971	0.0831199500719025	-3.97360552736134	7.07927718319642e-05	0.000389360245075803
Ile	9472.61532038653	0.398669090994916	0.256181539782736	1.55619757509859	0.119661117830545	0.292504954696889
Leu	15765.7903026299	0.116021297355978	0.0932206253178143	1.24458827604331	0.213283132099192	0.391019075515186
Lys	13467.4282124188	0.264132739596199	0.0787889880464868	3.35240680385889	0.000801122084170609	0.00352493717035068
Met	7940.55578291732	0.355075893010643	0.107732542025531	3.29590192837459	0.000981062564640748	0.00359722940368274
Phe	3005.28255141116	-0.128236833587881	0.0966562163958425	-1.32673136161987	0.184597562789841	0.369195125579682
Pro	17508.1161538633	0.177116590946426	0.129661656129078	1.36599050354645	0.171941944082212	0.369195125579682
SeC	116.706280091703	0.673628434296256	0.167108101289053	4.03109381950941	5.5517875305441e-05	0.000389360245075803
Ser	14011.3060454087	0.056187294887202	0.0810004475407744	0.693666474607046	0.48789139524664	0.590865951839775
Thr	3726.77790717542	-0.0757778795100723	0.0797864767118966	-0.949758438183716	0.342235008634734	0.470573136872759
Trp	1153.38210297374	-0.112879304442194	0.0960245106957228	-1.17552595295049	0.239784360313965	0.402871024877374
Tyr	1405.91711939279	-0.249667612185491	0.0998612939418939	-2.50014397300684	0.0124142843555333	0.0341392819777167
Val	7170.96092669594	0.0954901906598233	0.0841318227232141	1.13500679729687	0.256372470376511	0.402871024877374
iMet	14561.5408484748	0.582792878178722	0.0965866622314902	6.03388568063297	1.60063319842748e-09	3.52139303654045e-08
