baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	26263.593501544	-0.203053289762612	0.0447698639837658	-4.53549043249811	5.74697835803779e-06	0.000126433523876831
Arg	52615.3457364682	-0.0922771091673233	0.0423502088965203	-2.17890564348326	0.029338678451439	0.09138387140328
Asn	17349.4182325444	0.126498117102591	0.0521363413983292	2.42629447540493	0.0152538874727726	0.0698584588906864
Asp	52429.2601542641	-0.0349835206916402	0.0503730955535951	-0.694488204609524	0.48737609546424	0.630722005894898
Cys	20930.8128583631	0.120366358096704	0.0757557123275924	1.58887500887326	0.11208861438138	0.18968842433772
Gln	50120.217987504	0.14846381489656	0.0460226821739392	3.22588358356544	0.00125584427273809	0.009209524666746
Glu	41391.9166786772	0.0780969272684963	0.0624113765523686	1.25132518432703	0.210815860783976	0.331282066946248
Gly	102226.086365906	-0.132911842796913	0.0632105404502501	-2.10268480304359	0.0354933313603181	0.09138387140328
His	28108.0658635925	0.184408139653916	0.0533760402475846	3.45488610242609	0.00055052533581051	0.00605577869391561
Ile	8652.83037626888	-0.0249370630321461	0.0845951611027075	-0.29478119915003	0.768161029498974	0.832137524369015
Leu	67276.5991813384	-0.110749542346999	0.0680842293883591	-1.62665485593254	0.10381042170653	0.18968842433772
Lys	26671.5251844354	0.165278760025977	0.0927299322028955	1.78236688089389	0.0746894226824986	0.164316729901497
Met	5280.23315975015	-0.0584197541199021	0.0769043315343066	-0.759641920739423	0.447468654017851	0.615269399274545
Phe	8437.25010796848	-0.0984829630242004	0.0943510446072757	-1.04379303307264	0.296581155629257	0.434985694922911
Pro	42931.818756197	-0.0178029464364143	0.054374393217138	-0.327414162863763	0.743354655856867	0.832137524369015
SeC	587.032857639303	0.306967388472179	0.147471138052387	2.0815421412367	0.0373843110286146	0.09138387140328
Ser	71654.4130336376	-0.00991976337015281	0.0628220869340985	-0.15790248070808	0.874533643267326	0.874533643267326
Thr	15069.6273689806	-0.0782253668841444	0.0466122444738103	-1.67821497907264	0.0933051385871479	0.186610277174296
Trp	12695.5271885746	-0.031377463888275	0.0550939607447409	-0.569526377558002	0.568998975216164	0.695443191930867
Tyr	2462.37340993863	-0.0245141590532285	0.0940270250176358	-0.260713970782662	0.79431309144315	0.832137524369015
Val	37918.6723119549	-0.119961573183547	0.0511671013771879	-2.34450594141005	0.0190523069701872	0.0698584588906864
iMet	19370.079199094	0.127236080036578	0.0541770860329276	2.34852202939167	0.0188480842216561	0.0698584588906864
