baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	10566.0279208997	0.0858202236673528	0.0765613299485214	1.12093433754425	0.262315813391291	0.339467523212259
Arg	27709.0304432449	0.436282647564878	0.0889675585658329	4.90383972088033	9.39811839388209e-07	1.03379302332703e-05
Asn	8756.50399455302	-0.182738043544416	0.0761098520939816	-2.40097751495783	0.0163513411963854	0.0719459012640957
Asp	27149.0765980227	-0.0971677010338267	0.0651112755955356	-1.49233293534936	0.135611886696765	0.213104393380631
Cys	8510.66979721747	-0.194639358741522	0.109276086596172	-1.78117065502912	0.0748845760154888	0.183051185815639
Gln	24411.8406974533	-0.440626157046646	0.0926348297443567	-4.75659272287364	1.96887826608434e-06	1.44384406179518e-05
Glu	21138.1008539035	-0.186507288776405	0.103453875453789	-1.80280620671107	0.0714186550847361	0.183051185815639
Gly	50667.7736293877	0.109214582119671	0.0686849643482252	1.59007991277341	0.111816793171843	0.191629698176327
His	17308.0633426174	-0.563476027057475	0.0657302490142879	-8.57255275170175	1.01215965414794e-17	2.22675123912547e-16
Ile	11609.9097904332	0.370192043563138	0.265159039962457	1.39611322931156	0.162680400629173	0.238597920922787
Leu	32883.6349957981	0.180702615467956	0.109295760652001	1.6533359975719	0.098262500662007	0.191629698176327
Lys	20200.5897466601	0.0449917045888699	0.149435395741672	0.301077963260101	0.763355044613475	0.799705284833164
Met	9220.44041246589	0.364799170802864	0.158045327926811	2.30819332395449	0.0209883863281135	0.076957416536416
Phe	5147.26594710845	-0.0816274107680383	0.161756177433886	-0.504632416906622	0.613817036974399	0.675198740671839
Pro	28349.8419403308	0.143867622651158	0.174790325183255	0.823086875662728	0.410458591652001	0.501671612019112
SeC	266.40169996788	0.321186416250879	0.202792834050867	1.5838154131734	0.113235730740557	0.191629698176327
Ser	32281.3398497755	0.0189697859019728	0.0779828265891664	0.243255941489663	0.807807132970289	0.807807132970289
Thr	7564.99371723334	-0.0478706020663449	0.0672790763618648	-0.711522878359235	0.47676027871113	0.552038217454993
Trp	4407.07099120958	-0.131661734776789	0.107848234244752	-1.22080565990533	0.222159610330715	0.305469464204733
Tyr	2026.63629075866	-0.27555122814671	0.144184510379754	-1.91110145896367	0.0559915437108985	0.175973423091395
Val	16849.1210482506	0.166176869322001	0.0983760885152823	1.6891998028178	0.0911811467843198	0.191629698176327
iMet	19396.507007116	0.40661914746211	0.125810326351778	3.23200137264697	0.00122926465603796	0.00676095560820876
