baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	5923.7252173522	-0.611736466898384	0.0662836884493436	-9.22906496620047	2.73004583494018e-20	7.50762604608549e-20
Arg	20038.4042379101	-0.297107222502232	0.0744725274743262	-3.98948756781025	6.62161894948473e-05	9.1047260555415e-05
Asn	5719.29721002142	0.264668402385537	0.0694027642058353	3.81351384795829	0.000137004845079748	0.000177300387750262
Asp	19712.2343260977	-0.406013269535912	0.0728288665195468	-5.57489480392971	2.47679487611942e-08	3.89210623390194e-08
Cys	6497.61075269436	-0.922249244186858	0.0733387306495117	-12.5752005252766	2.8906590192925e-36	9.08492834634787e-36
Gln	12337.4712747956	-0.0874797215962239	0.061900272763105	-1.41323644777807	0.157586213138842	0.165090318526406
Glu	13338.1946592661	-0.35303474022856	0.0943658222644703	-3.74112927495235	0.000183195254620318	0.00022390531120261
Gly	31722.0057982068	-0.569559019256402	0.0649386532294893	-8.77072422865954	1.77520738224273e-18	3.905456240934e-18
His	7170.09937001862	0.712960408880421	0.0779135871363861	9.15065568258843	5.6589022425857e-20	1.38328721485428e-19
Ile	4848.17904733267	2.44415058510291	0.08169313679667	29.9186771489296	1.12487138817528e-196	8.24905684661875e-196
Leu	26916.9835411529	0.438954281311008	0.0703199126789603	6.24224724673674	4.31328421820393e-10	7.29940406157588e-10
Lys	10931.5073294394	1.40223077493762	0.0748222958257165	18.7408146123161	2.3007812603382e-78	1.01234375454881e-77
Met	4318.71366143953	3.15471215626936	0.0723442234756248	43.6069668690589	0	0
Phe	2344.88256815725	2.0549293805894	0.0882605491992419	23.2825356201959	6.66351745604523e-120	3.66493460082488e-119
Pro	15313.4137979994	-0.327348309505985	0.0594761493236575	-5.50385849165555	3.71567830087341e-08	5.44966150794767e-08
SeC	165.113295775761	-0.726377906226834	0.243217646743039	-2.98653455435434	0.00282158948993058	0.00310374843892364
Ser	21359.9980647707	-0.480602439438486	0.0620187975129429	-7.74930277127975	9.23984700843448e-15	1.8479694016869e-14
Thr	5271.27828154148	0.294160898757206	0.0808999086698566	3.63610915752258	0.00027678708011286	0.000320490303288575
Trp	1730.74863203159	-0.734803521623073	0.0966899739177962	-7.59958340921456	2.97085550570171e-14	5.4465684271198e-14
Tyr	876.594194935121	1.80439726786319	0.141294453732956	12.7704748501556	2.39687734820688e-37	8.78855027675854e-37
Val	9449.10842403967	0.0535281003143362	0.0596083409528125	0.897996814853653	0.369187247558275	0.369187247558275
iMet	14989.7842249481	2.14980155883625	0.0616524017726817	34.8697130529119	2.14032952750472e-266	2.3543624802552e-265
