baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	6920.14945603769	-0.05795267990613	0.0921749484217104	-0.628724842253127	0.52952921150878	0.621712512937835
Arg	23280.0125944752	-0.163222391282877	0.11218432783823	-1.4549482483707	0.145683589126529	0.320503896078363
Asn	6403.55359612636	0.111102375103304	0.100992277737786	1.10010762794922	0.271285230702558	0.497356256288024
Asp	22505.9585474598	-0.069451294952597	0.107854183672954	-0.643936958098853	0.519616314794747	0.621712512937835
Cys	7482.38309180017	0.0704016911260405	0.114018831217882	0.617456698810635	0.536933533900857	0.621712512937835
Gln	14399.5574027658	-0.30616051820909	0.126321258212981	-2.42366583851544	0.0153647361906267	0.20072866994147
Glu	14837.6645555054	0.115775709036031	0.250796412203317	0.461632237953121	0.644345072034162	0.708779579237579
Gly	36077.6003617779	-0.0340087406828898	0.107183110245108	-0.317295706432834	0.751019234953012	0.786782055665061
His	8439.82558457261	-0.181662266158044	0.121101528997948	-1.50008234958885	0.133593072413658	0.320503896078363
Ile	5268.52092720676	0.253734018521268	0.115845582702575	2.19027789063577	0.028504089285309	0.209029988092266
Leu	28401.0234946121	0.239567761096393	0.101488288385639	2.36054588078256	0.01824806090377	0.20072866994147
Lys	12135.0950813474	0.13749441828809	0.122811101173472	1.11956017798324	0.262901233253527	0.497356256288024
Met	4857.18030421693	0.186971285915289	0.0981052266535611	1.90582390248728	0.0566730566879696	0.311701811783833
Phe	2570.86364359378	0.203038152359855	0.135467902010733	1.49879159082104	0.133927706828432	0.320503896078363
Pro	17160.1808239841	0.0624482411508549	0.0929259152865107	0.672021803156993	0.501569816109769	0.621712512937835
SeC	210.488854214617	0.585578463765891	0.392594860487518	1.49155916875409	0.135814748999743	0.320503896078363
Ser	24154.6886072766	0.00934611805576991	0.0957375936557801	0.0976222369801086	0.922232266288041	0.922232266288041
Thr	5902.96698698828	0.125880540422332	0.120871549385658	1.04144061246946	0.297671102104549	0.503751095869237
Trp	2004.2818610632	-0.125401177316861	0.14017584537117	-0.894599044398935	0.371001462855941	0.54413547885538
Tyr	1028.57847304031	0.360024137780304	0.219314575251067	1.64158783048576	0.100675451376768	0.320503896078363
Val	10872.4262843316	0.082794956050887	0.0860622492011291	0.962035698804404	0.336031671938221	0.528049770188634
iMet	18178.4964847863	-0.177134807415576	0.098340463050574	-1.80124032286161	0.0716650093634158	0.315326041199029
