baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	238.603387545229	-1.42210073249664	0.409978983422529	-3.46871617814372	0.000522951605588263	0.00164356218899168
Arg	1467.1703421059	0.316547413568315	0.390432247488578	0.810761446075417	0.417502678879488	0.60923554654749
Asn	271.831464429153	-0.0871115906712755	0.315811166524484	-0.275834422290834	0.782675243780262	0.906255545429777
Asp	582.699237301542	0.0119395854954564	0.295976846948997	0.0403395928381986	0.967822388933821	0.967822388933821
Cys	217.276351833866	-0.349251726662719	0.738078494173671	-0.473190493178818	0.636077279700951	0.777427786301162
Gln	455.663863967504	-1.37315387483678	0.279167991652539	-4.91873680327167	8.71044963691081e-07	3.83259784024076e-06
Glu	491.762636344582	-0.649638536158501	0.285563318057252	-2.27493692319493	0.0229097139811646	0.0420011422988018
Gly	595.704616012555	-1.82707309992902	0.290935078032406	-6.28000278373276	3.38566967171182e-10	1.8621183194415e-09
His	187.34917571526	-1.43387069802675	0.661183616175402	-2.16864220913539	0.0301098580208228	0.0473154911755787
Ile	250.398696951814	1.56711792136438	0.363898577443739	4.30646894080443	1.65881208210952e-05	6.0823109677349e-05
Leu	2193.09557329964	2.69115083119215	0.319306898810551	8.42810111907053	3.51319419369208e-17	2.57634240870753e-16
Lys	1211.95709288547	1.14671390066359	0.42795814442968	2.67950012305937	0.00737321761557981	0.0162210787542756
Met	416.969817097813	3.31432582896183	0.265884188721054	12.4652986885165	1.15438443382569e-35	2.53964575441651e-34
Phe	111.738193090609	0.241904158778507	0.48600213508601	0.497742995996706	0.618665198865025	0.777427786301162
Pro	890.153735988861	0.787993451227383	1.02736834330114	0.76700188045059	0.443080397489084	0.60923554654749
SeC	18.5849604959633	0.95623205631689	0.351384910035385	2.72132362263535	0.00650210725756235	0.0158940399629302
Ser	423.695700354055	-0.0257468560020889	0.249377868974439	-0.103244350061905	0.91776904169886	0.961472329398806
Thr	252.440090141563	-0.865865350411916	0.361786421787988	-2.39330527147126	0.0166973420394936	0.0333946840789872
Trp	78.510265427304	-1.15468755934282	0.381173536558505	-3.02929623543158	0.00245124196420069	0.00674091540155189
Tyr	140.769608921004	1.1631289304336	0.526818861155226	2.20783463956292	0.0272558024085762	0.0461252040760521
Val	732.999974452319	0.0508795247994995	0.375423191378889	0.1355257905422	0.892196174460496	0.961472329398806
iMet	1326.75480090358	4.61600271851614	0.385722073756302	11.9671728235924	5.27971443905215e-33	5.80768588295737e-32
