baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	3601.25617852635	-0.0680670517612811	0.17538317471341	-0.388104798949546	0.697938480720292	0.731173646468877
Arg	10276.6506747878	0.384259618350099	0.103678013799951	3.70627873997989	0.000210326814581967	0.000289199370050204
Asn	2710.83687949531	0.747660419183839	0.144273962934457	5.18222695195182	2.19252199643479e-07	3.71042184012041e-07
Asp	13090.6019525786	-0.121252428685709	0.0766917641656629	-1.58103585182614	0.113869840521696	0.139174249526518
Cys	3406.35826838242	-0.998700989754269	0.179204415269868	-5.57297089053473	2.5043142888802e-08	5.0086285777604e-08
Gln	7352.02093228783	0.661415574705178	0.139990117144418	4.7247304895305	2.30420738971952e-06	3.6208973267021e-06
Glu	10544.0290461898	-0.482353525684999	0.128019788446864	-3.76780442724449	0.000164689643360275	0.000241544810261736
Gly	37788.7734808064	-1.08035807826206	0.18884369436387	-5.72091158193713	1.05954028513056e-08	2.33098862728724e-08
His	6368.93845473822	0.0215719606010282	0.10102960587928	0.213521179393736	0.830920471228546	0.830920471228546
Ile	3363.62693920944	1.33273862967004	0.0942447546258331	14.141249929094	2.11494202364294e-45	2.32643622600724e-44
Leu	18939.6681256269	-1.26057794513139	0.130406602120957	-9.66651936810801	4.18365151919426e-22	1.84080666844548e-21
Lys	8323.2539999815	1.02079562383981	0.0761717436915123	13.4012374453961	5.9463358015828e-41	4.36064625449406e-40
Met	1347.87263392474	1.62623524572248	0.106691949841827	15.2423425397455	1.85112637689662e-52	4.07247802917256e-51
Phe	2480.61651294334	-0.153073325324733	0.115463530654174	-1.32572877736785	0.184929551770669	0.214128954681827
Pro	5337.57551278625	1.16009611516321	0.194107786557189	5.97655630276023	2.27903811041805e-09	6.26735480364963e-09
SeC	312.364433950845	-3.13469529361115	0.308157565214586	-10.1723781839602	2.63397732260908e-24	1.44868752743499e-23
Ser	24128.6028460706	-0.808231431652513	0.126046596818559	-6.4121638509284	1.43468516315301e-10	4.50901051276659e-10
Thr	2742.30574480232	0.97026509272969	0.17908765281173	5.41782237634049	6.03293059652045e-08	1.10603727602875e-07
Trp	929.866213018405	-0.26665929722604	0.159943099061485	-1.6672135202503	0.0954719552571847	0.123551942097533
Tyr	511.891696444306	2.12368097712471	0.360990431596062	5.88292871845715	4.03069550091193e-09	9.85281122445139e-09
Val	14077.565453644	-1.3202974623942	0.154815940199975	-8.52817520397953	1.48674252981128e-17	5.4513892759747e-17
iMet	16179.41969689	-0.221524760571386	0.220116356721407	-1.00639845157787	0.314223938192855	0.345646332012141
