baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	3794.80865122786	0.00886158219006267	0.174976521165544	0.050644407209804	0.95960887636972	0.95960887636972
Arg	10812.9149407744	0.455951825216911	0.204989405200797	2.22427019957585	0.0261302704427622	0.0319369972078205
Asn	2589.91158254234	0.743824569768749	0.182761298019275	4.06992387245084	4.70285025353791e-05	9.40570050707583e-05
Asp	13117.2849543654	-0.361488546067938	0.184014389542254	-1.96445803486978	0.0494769983208833	0.0544246981529716
Cys	3003.17954691089	-1.21258888489456	0.209857056433748	-5.7781658882525	7.55193310273629e-09	3.03147018251292e-08
Gln	7133.08669580145	0.557066849948777	0.240608613199898	2.3152406829508	0.0205997639584873	0.0266585180639247
Glu	10677.2268312933	-0.407112266176373	0.188539577166104	-2.15929340828905	0.0308274112144856	0.0356948971957202
Gly	32754.4180222269	-1.55102511857564	0.235136944747182	-6.59626295750034	4.21650792139573e-11	2.31907935676765e-10
His	5299.85594282733	-0.313112527926885	0.296137511548416	-1.05732139873031	0.290364930395947	0.304191831843373
Ile	3789.60917762858	1.26129692845201	0.224625610713782	5.61510739778981	1.96440195284927e-08	6.17383470895486e-08
Leu	19657.8653084744	-0.747013361485546	0.1779024095696	-4.19900642882128	2.6808871007463e-05	5.89795162164186e-05
Lys	8858.25455290741	1.24140561085982	0.236767252822156	5.24314742035835	1.57860310332089e-07	3.85880758589551e-07
Met	1707.93460298961	1.97437366741566	0.178284641614712	11.0742779048935	1.67222739016201e-28	1.83945012917821e-27
Phe	2442.76833807577	-0.377543715448324	0.162795060529209	-2.31913495545268	0.0203877199422248	0.0266585180639247
Pro	4910.10157131435	0.904284460152182	0.250410161252999	3.61121312181316	0.000304768080961663	0.000478921270082614
SeC	227.514103284892	-2.93776902138235	0.249871386038663	-11.757124607008	6.49072853506628e-32	1.42796027771458e-30
Ser	26973.3417923939	-0.860997181883267	0.293898406478951	-2.92957417564267	0.00339426791050221	0.00497825960206991
Thr	2869.51807555393	0.996795231171581	0.179182457258849	5.56301797854908	2.6514856136031e-08	7.29158543740852e-08
Trp	907.851788160497	-0.637156985477686	0.157907343850325	-4.03500540216562	5.46010413161414e-05	0.000100101909079593
Tyr	549.92156417813	2.92285500574275	0.265401932530305	11.0129379160003	3.31029757503343e-28	2.42755155502451e-27
Val	15906.0569201765	-1.49208162263083	0.258911196726364	-5.76290883320804	8.26764595230796e-09	3.03147018251292e-08
iMet	35155.1586187177	1.42611506180639	0.373635473071538	3.81686206098889	0.000135159682349868	0.000228731770130546
