baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	2556.99712035369	0.155231245814492	0.214514916692805	0.723638468632883	0.469287717963127	0.679745359077524
Arg	8407.51268921821	0.133725619579217	0.177461488461412	0.753547266725956	0.451121119052733	0.679745359077524
Asn	2320.52124076987	-0.0211075430888068	0.226981314911755	-0.0929924258171333	0.925909578471388	0.925909578471388
Asp	8367.19711080122	-0.0938218651195409	0.149096541798735	-0.629269223736865	0.529172816295735	0.679745359077524
Cys	1423.20155332287	-0.285366148281019	0.161763842056559	-1.76409106419	0.0777166486833541	0.341953254206758
Gln	6104.85559519953	-0.0469295296076356	0.195642441656787	-0.239873972182189	0.810427959034032	0.849019766607082
Glu	6266.52730327934	0.0947086524886099	0.141517066108146	0.669238382996396	0.503343425287587	0.679745359077524
Gly	14234.1734248825	-0.509631422352702	0.232300150378593	-2.19384886975805	0.0282462762020543	0.155354519111298
His	3892.2640960944	-0.390437258856847	0.283668025301294	-1.37638797478901	0.168701548958925	0.612622001752616
Ile	3542.57020432286	0.183481971115004	0.148460749349706	1.23589549371601	0.2164974122817	0.612622001752616
Leu	9016.71878172367	0.42900548573894	0.179751778022076	2.38665503317721	0.0170024368958638	0.155354519111298
Lys	8211.28124164226	0.185976667149254	0.205891443668608	0.903275356350368	0.366379772351186	0.679745359077524
Met	1658.74862260862	0.445345584381421	0.194131426933684	2.29404167792757	0.0217881048630495	0.155354519111298
Phe	1560.05763434526	-0.105336443782877	0.181626069360283	-0.579963240705972	0.561939407054771	0.679745359077524
Pro	4801.53093103008	-0.166911133419451	0.13690316622581	-1.2191911846958	0.222771637000951	0.612622001752616
SeC	41.8689280621794	-0.23083095682532	0.329076313911391	-0.701451143905408	0.483021514108574	0.679745359077524
Ser	12754.3510748662	0.15117282143216	0.258909060956753	0.583883858191472	0.559298453945406	0.679745359077524
Thr	2605.63601072606	0.118910314768811	0.218942598715495	0.543111826873531	0.587052810112407	0.679745359077524
Trp	540.833767587429	-0.206494873014051	0.184820717372618	-1.11727124507225	0.263878366338188	0.645036006604461
Tyr	633.474952583968	0.281686935073846	0.355672959859506	0.791982992424037	0.428370593151913	0.679745359077524
Val	5699.32392782538	0.0758691136380567	0.2587124460163	0.293256527879902	0.769326079306179	0.846258687236797
iMet	23019.567129031	1.79553384015308	0.359590457106736	4.99327444504491	5.93641062278576e-07	1.30601033701287e-05
