baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	2914.90159713551	-0.140056214936575	0.0673024024612051	-2.08099874320693	0.0374340210938657	0.0915053848961162
Arg	11270.7919713348	-0.198895521333256	0.0749432693004247	-2.65394775528066	0.00795561434301085	0.0291705859243731
Asn	3747.79238624333	0.172892727945039	0.0756866815378051	2.28432168556207	0.0223526323447984	0.0614697389481956
Asp	11317.307325448	0.183312933529052	0.066085130195926	2.77389078277633	0.00553902704748775	0.0243717190089461
Cys	2656.22035929147	-0.0306506700266403	0.0698043505700578	-0.439093978761085	0.660593441836008	0.692050272399627
Gln	8644.29011632159	0.0728794983232645	0.0936681424790333	0.778060676708497	0.436533243450339	0.56492537387691
Glu	7099.96108005115	0.259106977916128	0.0916244350135146	2.827924427342	0.00468508650783516	0.0243717190089461
Gly	16156.098941992	0.0946569536837755	0.0738141707629777	1.28236831363622	0.199713474156635	0.366141369287165
His	6406.71010217845	0.175312888117113	0.0696603466287592	2.5166812483924	0.0118465950547699	0.0372321558864198
Ile	4209.41680980088	-0.124034304429408	0.0798028026122782	-1.55426000552923	0.120122409366207	0.240244818732415
Leu	13697.066075849	-0.251971545610709	0.0764436616239676	-3.29617315887061	0.000980115846693848	0.00718751620908822
Lys	9389.14301975073	0.153249865177864	0.0775264824068358	1.97674214565359	0.0480707842475461	0.105755725344601
Met	4137.65387774002	-0.277099065113424	0.0828486577360903	-3.34464157519736	0.000823889681713474	0.00718751620908822
Phe	2074.50944320008	0.0226927474331832	0.068722425480199	0.330208767729272	0.741242222374797	0.741242222374797
Pro	7904.81082674841	0.051251801358271	0.0609457324935136	0.84094159281334	0.400380655892399	0.550523401852049
SeC	77.9097552862263	0.231065362986189	0.192187118862478	1.20229370393721	0.229249755414681	0.387961124547921
Ser	10841.3301980206	0.0627384961852982	0.0649941998239418	0.965293770140199	0.334397691277076	0.490449947206378
Thr	3302.00152038518	0.0337963118425211	0.074148450129228	0.455792559165026	0.648539155302424	0.692050272399627
Trp	842.298203870401	-0.0537239582867032	0.0838119741462105	-0.641005761217143	0.521518939857896	0.630451179444613
Tyr	854.645833901693	0.104446967457541	0.0907423204337117	1.15102817470753	0.24972064468423	0.392418155932361
Val	5879.01819907428	0.0454004703535932	0.0749119032166985	0.606051487201744	0.544480564065802	0.630451179444613
iMet	14436.4101072568	-0.541586243359703	0.0664106946886069	-8.1551058289504	3.48874250644323e-16	7.6752335141751e-15
