baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	11812.2376481176	-0.116225240043672	0.11680566079928	-0.995030885047554	0.319721243294978	0.483976198793728
Arg	36876.105450574	0.0523188366372205	0.0898757633852569	0.582123974991491	0.560483177217893	0.587172852323507
Asn	8461.2363732977	-0.0772011268515845	0.0732663862682503	-1.05370458110119	0.292018190906115	0.483976198793728
Asp	39276.4472875698	0.188306140986164	0.0708165370797101	2.65907016569038	0.00783566425400623	0.0344769227176274
Cys	14429.9526283047	-0.0479744486928334	0.0596763467381326	-0.803910616434873	0.421448598324583	0.493473529989277
Gln	21041.0120009199	0.162872975776836	0.126897957711556	1.28349564259381	0.199318485198427	0.483976198793728
Glu	24103.4897423804	-0.0530147196031042	0.169064118893211	-0.313577593815697	0.753841879327694	0.753841879327694
Gly	67186.5751022549	0.216709261058428	0.0780026462873953	2.77822960339035	0.00546559821642273	0.030060790190325
His	9082.08978629539	0.0630658938433732	0.0565917082286061	1.11440166443844	0.265106909606791	0.483976198793728
Ile	2442.0565885332	-0.218039732176976	0.0840504107527008	-2.59415427270793	0.00948239276538764	0.034768773473088
Leu	36029.649107267	0.0410054815888831	0.0699607049349833	0.586121618228272	0.557793789685441	0.587172852323507
Lys	9653.99097336305	-0.145634718045244	0.149499801474582	-0.974146564803333	0.329983771904815	0.483976198793728
Met	1480.43362032915	-0.202124051609997	0.0875563341536301	-2.30850290346032	0.0209711815335015	0.0659094276767189
Phe	1488.13832530255	-0.148562295148552	0.121285246616959	-1.22489997169845	0.220612911099996	0.483976198793728
Pro	29752.3481642103	0.179122932049371	0.0619192597751015	2.89284679274216	0.00381767468495148	0.0279962810229775
SeC	443.855169122944	-0.272847316127033	0.295958234152013	-0.921911555895045	0.356574710954691	0.4902902275627
Ser	44163.3327039602	0.218883497637917	0.0571837760876328	3.82772024887764	0.000129335635315462	0.00284538397694016
Thr	7531.79013024466	-0.166926132226381	0.0839471134844243	-1.98846780190189	0.0467599765917083	0.128589935627198
Trp	3682.40195456737	0.0778532033299134	0.0978371742468625	0.795742558278251	0.426181684990739	0.493473529989277
Tyr	691.471267378831	-0.589324850983434	0.167082491961906	-3.52714903915725	0.000420060240355025	0.00462066264390528
Val	16778.6373261004	0.105504148151658	0.131497124768331	0.802330456559661	0.42236182910491	0.493473529989277
iMet	9658.67442175452	0.0950393742924786	0.0870999815432027	1.09115263411781	0.275205725899682	0.483976198793728
