baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	5864.00569980034	-1.13622088313196	0.412729859832632	-2.75294083057794	0.00590625698677274	0.00999520413146155
Arg	10997.2060849363	-0.0701625009138096	0.271965165211834	-0.257983410703206	0.796419710314023	0.834344458424215
Asn	3894.42371090247	1.01384210715281	0.25138413683119	4.03303931557794	5.50600634967501e-05	0.000134591266325389
Asp	8725.88813765731	-0.1121144137846	0.350002075733457	-0.320324996786534	0.748721975962235	0.823594173558458
Cys	2863.7568939326	-0.197503977678434	0.17338242506573	-1.13912340079198	0.254651688505991	0.294859849849042
Gln	6024.71058780733	0.375944170783795	0.122480983268476	3.06940849715204	0.00214483097504282	0.00393219012091184
Glu	21730.2727921235	-2.09224944273009	0.548004210414727	-3.81794410146353	0.000134568404931592	0.000296050490849501
Gly	23276.474866045	-1.31707980064871	0.163082962326389	-8.07613365529103	6.68526049436316e-16	3.67689327189974e-15
His	3803.15430206507	-0.847023858746033	0.159130471388971	-5.32282630317614	1.02167291615929e-07	3.74613402591739e-07
Ile	4641.89041781304	2.60206839649449	0.179922240526437	14.4621831569075	2.1002884602937e-47	4.62063461264615e-46
Leu	19267.6552324161	0.31651073616702	0.235877705353887	1.3418425267965	0.179647060059694	0.219568628961848
Lys	6737.14855840811	0.399952926534788	0.184439737985967	2.16847481406214	0.0301225788706909	0.0441797823436801
Met	1139.18195979913	2.21702716181594	0.213662169299292	10.3763205675891	3.17787884462399e-25	2.33044448605759e-24
Phe	1482.62181621804	0.85356326684529	0.460351065997009	1.85415725061194	0.0637166660599459	0.08245686195993
Pro	6753.82860568276	0.0315468418034735	0.254823914647855	0.12379859185143	0.901474746777832	0.901474746777832
SeC	212.24727439985	-1.69188893928686	0.332566474705209	-5.08737070020836	3.63061748508882e-07	1.14105120959934e-06
Ser	14958.8688150669	-0.254549234422585	0.135344533304142	-1.88075002520102	0.0600059311810506	0.08245686195993
Thr	4457.0746964961	0.897117289966944	0.19748566919676	4.54269564782002	5.5539409662557e-06	1.52733376572032e-05
Trp	893.700903783976	-1.01097591797984	0.267320866720407	-3.78188179016054	0.000155647275076632	0.000311294550153264
Tyr	916.230013721515	0.673210318115544	0.250545883348101	2.68697417462735	0.0072102527239565	0.0113303971376459
Val	10583.3414656879	-0.871284564106317	0.115134805469501	-7.56751670837816	3.80426257804902e-14	1.67387553434157e-13
iMet	15042.7403971124	2.35059019879175	0.193532299758102	12.1457255544929	6.04440043250866e-34	6.64884047575952e-33
