baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	1595.16568663592	-0.00273107835184807	0.134217140303401	-0.0203482084752692	0.983765598933161	0.983765598933161
Arg	5067.81079813495	0.227669070910553	0.0997371390533675	2.28269101230918	0.0224485755821099	0.0823114438010696
Asn	2125.87595446247	-0.194979442447412	0.134088026357623	-1.45411523865216	0.145914359391606	0.321011590661534
Asp	3219.22568058972	-0.38906979439414	0.108202511160239	-3.59575568276748	0.000323451261827413	0.00177898194005077
Cys	1324.58360238322	0.366356913734024	0.192123006935564	1.90688725716695	0.0565351886536038	0.13819712781992
Gln	2949.74267296031	-0.0135333566632599	0.150254540013551	-0.0900695357493977	0.928231957747412	0.972433479544908
Glu	3636.34355852944	0.0424019865805407	0.125220229770554	0.338619300237954	0.734896541228778	0.913891851387199
Gly	5821.6778029749	0.0134180533859472	0.110184910639333	0.121777594664194	0.903075158733608	0.972433479544908
His	1194.52035224962	0.038260974190279	0.158824396588067	0.24090111476711	0.80963175812121	0.93746835150877
Ile	3061.06894676757	-0.39288630210657	0.151688227928121	-2.59009092183964	0.00959505858081069	0.042218257755567
Leu	9403.67379234466	0.0382879546160367	0.11904185999042	0.32163437818527	0.747729696589526	0.913891851387199
Lys	3442.07339379529	0.0811764456166682	0.202166210677927	0.401533200550468	0.688027599464756	0.913891851387199
Met	997.997320506674	0.532531117798421	0.140141796666964	3.79994498760379	0.000144728212607808	0.00106134022579059
Phe	778.393520379966	-0.182047978670531	0.16068210979402	-1.13296980543696	0.257226933531709	0.514453867063417
Pro	3014.49783639384	0.0393795595776103	0.108511336051888	0.362907333099095	0.716674108653566	0.913891851387199
SeC	48.1538401782837	0.221319408337534	0.553502295846246	0.399852737736453	0.689264984562486	0.913891851387199
Ser	6543.67698854041	0.268690157181018	0.126705377986127	2.12058999745407	0.0339563206108068	0.106719864776821
Thr	3061.31631464724	0.514440851942141	0.117003641687467	4.39679350593449	1.09861770100011e-05	0.000120847947110012
Trp	247.913095846647	-0.110873830191371	0.213643359365176	-0.518966891930662	0.603783829268679	0.913891851387199
Tyr	463.612085067994	-0.159935989272411	0.178172028559859	-0.897649258220565	0.369372569246177	0.677183043617992
Val	2945.29223461256	-0.309616386620048	0.153648890554055	-2.01509028476273	0.0438951900070047	0.120711772519263
iMet	13522.7515483608	0.559287820262719	0.109216270708362	5.12092032290842	3.04048102411503e-07	6.68905825305306e-06
