baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	18560.0963405827	0.153211942830729	0.272448123154163	0.562352718957933	0.573875726088318	0.920875445581922
Arg	22907.4064473183	0.388102783944863	0.276672954217815	1.40274926778468	0.160691620070841	0.920875445581922
Asn	4743.89374250494	-0.0111599862948854	0.266608624960841	-0.0418590594978858	0.96661105356035	0.984975668397841
Asp	17741.1963495642	0.213291379264979	0.289120362733705	0.737725206375143	0.460681451565653	0.920875445581922
Cys	6317.99907032498	-0.0247419248945565	0.241137195240851	-0.102605178225798	0.918276332904752	0.984975668397841
Gln	12424.5113845638	0.137376961178823	0.203831613063933	0.673972791137821	0.500328612228385	0.920875445581922
Glu	82990.7776732221	-0.3203298628382	0.283083849454637	-1.13157237142041	0.257814261128114	0.920875445581922
Gly	96097.0066849082	-0.104405717616061	0.172400394899689	-0.605600223113234	0.544780254150244	0.920875445581922
His	8753.92028694996	0.237852474784083	0.24401791353159	0.974733663368084	0.3296923900575	0.920875445581922
Ile	3136.09069069803	-0.0977509546687392	0.189894940142094	-0.514763345435084	0.606718402115666	0.920875445581922
Leu	40122.7603500162	-0.314458911414465	0.240119882543218	-1.30959130949045	0.190334129955465	0.920875445581922
Lys	15288.857747062	-0.103754677574172	0.227490314117604	-0.456083934723191	0.648329622182956	0.920875445581922
Met	959.527727703626	-0.0557497829715676	0.169519354937586	-0.328869721053939	0.742254161532706	0.960564209042325
Phe	2730.46324885838	-0.236948416465466	0.222200798042078	-1.06637068162373	0.286256109535004	0.920875445581922
Pro	16157.7338364104	0.00579475932163636	0.307719229525024	0.0188313201309544	0.984975668397841	0.984975668397841
SeC	605.413725127163	0.0917965670925854	0.215221230265485	0.426521895536748	0.669727596786852	0.920875445581922
Ser	43335.4207582995	0.0270833382689118	0.261583336010472	0.103536175820571	0.917537439606999	0.984975668397841
Thr	6904.90340233675	0.186568961342924	0.194869472593605	0.957404763608142	0.338362995012984	0.920875445581922
Trp	2980.62391990628	0.276637684757167	0.170960428816253	1.6181386925187	0.105632711555277	0.920875445581922
Tyr	1155.61282252541	-0.025870555310172	0.247426913537077	-0.104558372168738	0.916726247777652	0.984975668397841
Val	41472.9232354241	-0.191765190658701	0.298205781845516	-0.643063288283406	0.520183034561598	0.920875445581922
iMet	13917.6030513323	-0.253381127736305	0.245930866301892	-1.03029412918534	0.302871954154956	0.920875445581922
