baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	6696.33000881353	-0.093659702513444	0.359642893304251	-0.260424171468918	0.794536599885235	0.915553985446266
Arg	12336.5867518624	-0.217178454644192	0.268376568983586	-0.809230311970623	0.418382682425047	0.915553985446266
Asn	3811.96925050954	-0.111183479410939	0.317130913480274	-0.35059174203733	0.725894652684531	0.915553985446266
Asp	8741.73925227316	-0.476315315862897	0.287347606479892	-1.65762757413547	0.0973926605171615	0.625103764974601
Cys	2726.85164956445	0.123808659673486	0.337372340445378	0.366979283215811	0.713634471143268	0.915553985446266
Gln	7266.07438584682	-0.169411361042074	0.252100420319543	-0.671999518395653	0.50158400291864	0.915553985446266
Glu	25187.5070410379	0.319462973241623	0.410631233264764	0.777980210374407	0.436580679839067	0.915553985446266
Gly	31203.2133348179	0.111000324691611	0.261546254897609	0.424400359833354	0.6712738583502	0.915553985446266
His	3670.86778478867	-0.391950650826109	0.292328116431131	-1.34079012176869	0.179988604317871	0.659958215832193
Ile	3393.61942476391	0.0487735216424229	0.307411866817759	0.158658551952833	0.873937895198708	0.915553985446266
Leu	18965.2572904872	0.562217382457183	0.305797802578651	1.83852656139535	0.0659848516047497	0.625103764974601
Lys	8689.0776243782	0.282988722634565	0.331236748972328	0.854339754005392	0.392916766390862	0.915553985446266
Met	1639.11701079336	0.387569965135422	0.263988941845642	1.46812954522178	0.142069037494228	0.625103764974601
Phe	1706.20012164984	0.184108358307693	0.359730318281051	0.511795500550088	0.608794139705454	0.915553985446266
Pro	7664.28682571518	0.0629631993991528	0.319442057875077	0.197103661984846	0.84374641779407	0.915553985446266
SeC	191.056534197138	0.798252804873814	0.51682817468587	1.54452261693936	0.122461776489909	0.625103764974601
Ser	19138.573062469	0.126623903761012	0.343565137743633	0.368558651185088	0.712456720601705	0.915553985446266
Thr	5327.48468924838	-0.00509260238874608	0.260216532033191	-0.0195706335372132	0.984385890387787	0.984385890387787
Trp	1046.8340883805	-0.194024850291452	0.28353684514346	-0.684302070841208	0.493784439596076	0.915553985446266
Tyr	859.346095880746	-0.0565405034124567	0.339267358671109	-0.166654710414591	0.867641742916411	0.915553985446266
Val	14274.5363321145	0.14851534293322	0.393015729202269	0.377886511653546	0.705514902944533	0.915553985446266
iMet	19130.5643083579	0.806511280565134	0.344840656566028	2.33879406389168	0.0193460940937116	0.425614070061655
