baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	947.053770014861	-1.35556069978037	0.120288492594325	-11.2692467130003	1.86155685373403e-29	5.85060725459268e-29
Arg	5069.90705931752	1.24695376773519	0.0857170200522318	14.5473298882223	6.07274925669115e-48	2.67200967294411e-47
Asn	1639.37104047527	0.0229810377450493	0.112125192809481	0.204958735581376	0.837604364801137	0.837604364801137
Asp	3145.10804952927	0.154050715396056	0.0969057062846547	1.58969704986764	0.111903108995863	0.1367704665505
Cys	542.330437722095	-1.29556123873939	0.146200349666565	-8.86154678627062	7.89118187859834e-19	2.17007501661454e-18
Gln	2114.82516676184	-1.07464320623503	0.124246348786465	-8.64929405758198	5.18189790742646e-18	1.14001753963382e-17
Glu	2437.95125045698	-1.12743672782629	0.0901471312252696	-12.5066290241553	6.86773445226662e-36	2.51816929916443e-35
Gly	3438.74991159249	-1.51797221716336	0.100553751158806	-15.096127192371	1.71727916150752e-51	9.44503538829139e-51
His	804.272396951089	-1.46514952424372	0.165893590837136	-8.83186334595716	1.02946170774518e-18	2.516461952266e-18
Ile	1472.0370183603	1.8520010604845	0.110757837430565	16.7211739001814	9.18912071027401e-63	6.73868852086761e-62
Leu	3015.82632251386	0.172350016617373	0.0987606668573792	1.74512811731279	0.0809625702114774	0.104775090861912
Lys	5522.01187042215	1.81902584944467	0.0904566179961551	20.109372755037	6.10914561044134e-90	6.72006017148547e-89
Met	3221.15591898516	3.6334665973173	0.102712260812758	35.3751983313952	4.10985258548876e-274	9.04167568807526e-273
Phe	517.175587238832	-0.0713099968466847	0.161214607323414	-0.442329625277869	0.658250696157841	0.689595967403452
Pro	3071.74808466044	0.707145106967799	0.111441724632565	6.34542501293238	2.21812220462078e-10	4.43624440924156e-10
SeC	199.891480710167	-0.207572795367584	0.245033936526536	-0.847118559616759	0.39692904120182	0.436621945322002
Ser	3592.78152915301	0.59191633263739	0.112368359722721	5.26764236923986	1.38186983376314e-07	2.53342802856575e-07
Thr	853.119346458528	0.370733524323145	0.119182406548448	3.11063969137459	0.0018668257348255	0.00293358329758293
Trp	595.101293003165	-0.253411473134517	0.138854405012066	-1.82501572861513	0.0679986558448442	0.0934981517866608
Tyr	232.426088024813	-0.325509912828067	0.272832099781032	-1.19307776866913	0.23283891725081	0.269602956816728
Val	2026.5535222944	-0.446386591710331	0.101572966492091	-4.39473815845566	1.10906353913874e-05	1.87687675854249e-05
iMet	1731.47941088065	0.331245565835392	0.108981778658575	3.03945824625545	0.00237004052598178	0.00347605943810661
