baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	892.370550517885	-0.231885161757254	0.138922014188782	-1.66917506279562	0.0950826906674536	0.123048187922587
Arg	3334.60154717288	1.08840088824947	0.112938679459197	9.63709593082939	5.57426290544696e-22	1.22633783919833e-20
Asn	1262.06324512062	-0.304701072618243	0.118473399936903	-2.57189438963111	0.0101143740431961	0.0158940163535938
Asp	2487.98428816081	0.243507327855096	0.11196362649909	2.17487889120022	0.0296391931440055	0.043470816611208
Cys	447.102440726194	-0.602114001850974	0.155875149966046	-3.86279661627996	0.000112096330850248	0.000246611927870546
Gln	1730.62938031813	-0.657389053739891	0.1925934390459	-3.41335123873673	0.000641691808181912	0.00128338361636382
Glu	2276.57042892862	-0.831626997262401	0.0991909347898406	-8.38410283182025	5.11140955350401e-17	5.62255050885441e-16
Gly	2902.64594321412	-0.626452870796344	0.124564387593546	-5.02914904411092	4.92661341153405e-07	2.16770990107498e-06
His	757.509974348524	-1.42564128945643	0.238051841657925	-5.98878496182798	2.1141446431768e-09	1.16277955374724e-08
Ile	1080.30418492606	0.261679029638073	0.132727056536432	1.97155754423172	0.0486601378418892	0.0669076895325977
Leu	2237.85168113112	0.24667270141383	0.0871681278356626	2.82984971156981	0.00465698740664675	0.00853781024551903
Lys	3815.43291178758	0.568123568474553	0.132121857336911	4.29999683569265	1.70800548180551e-05	5.17690735228442e-05
Met	2231.95946824681	0.64778804720405	0.157635444190747	4.10940604462149	3.96678063308027e-05	9.69657488086289e-05
Phe	473.797531923503	-0.303666438522929	0.211401393071999	-1.43644483184416	0.15087580390722	0.174698299260991
Pro	2361.46428875622	0.160933169310893	0.176083680822008	0.913958457476648	0.360738674871444	0.396812542358588
SeC	114.409805954758	0.167677849527711	0.402156309628664	0.416946956974362	0.676717206098694	0.676717206098694
Ser	2394.23009087016	0.794342619091546	0.16328599132406	4.86473219564243	1.14611885563239e-06	4.20243580398543e-06
Thr	666.905374352587	0.0985334677876851	0.1199031921234	0.821775184152545	0.411204859840122	0.430786043642033
Trp	415.1079729076	1.05324234925528	0.141941681672368	7.42024708208259	1.16902042086834e-13	8.57281641970114e-13
Tyr	260.065935702357	-1.30073406601586	0.468507521209442	-2.77633550611533	0.00549754457137804	0.00930353696694745
Val	1675.48597418328	0.137371782427336	0.0925024140627625	1.48506159346425	0.137527508760039	0.168089177373381
iMet	1430.07435520775	-0.585621438164944	0.136878973622982	-4.27838858419537	1.88251176446706e-05	5.17690735228442e-05
