baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	3059.92556229419	-1.33680033456354	0.0780275489308053	-17.1324148058145	8.50501158959908e-66	4.67775637427949e-65
Arg	8725.53000156396	0.131853007813525	0.0661159588269431	1.99426901088505	0.0461226639356576	0.0507349303292234
Asn	3841.12351914989	0.200483208485962	0.0695101243968671	2.88423032220897	0.00392371662689008	0.00539511036197385
Asp	7569.6136840127	-0.312597754104899	0.0638548128913924	-4.89544546370501	9.80832907337266e-07	1.54130885438713e-06
Cys	1458.69800279116	-0.733631436511742	0.0871336530997742	-8.41961068327621	3.77737442517333e-17	9.23358192820148e-17
Gln	5859.2978647665	-0.334381205609263	0.1244635121135	-2.68658018668425	0.0072187618835785	0.00934192714345453
Glu	8210.87305562277	-0.437124983641727	0.0750471466499129	-5.82467159852018	5.72250133973897e-09	9.68423303648134e-09
Gly	10066.6271712883	-1.08217661380583	0.0672463566294271	-16.0927174057824	2.86960867749828e-58	1.26262781809924e-57
His	2831.34669478023	0.226285185666193	0.0769719674572357	2.93983891982381	0.00328382914440089	0.0048162827451213
Ile	3322.99563504109	1.62165499533685	0.0940461884382019	17.2431761697864	1.25924283434772e-66	9.23444745188331e-66
Leu	7736.32896316386	-0.088626999460499	0.0570404764643818	-1.55375629647556	0.120242558868831	0.120242558868831
Lys	11108.1705110321	1.10747972974014	0.0573133214397916	19.3232515917537	3.42388451805364e-83	3.76627296985901e-82
Met	7207.17502130415	2.98759605143106	0.0748899929693513	39.893127679338	0	0
Phe	1606.13905599172	0.175617727632605	0.094748373110416	1.85351707757501	0.0638082806998773	0.0668467702570143
Pro	7467.91905026157	0.547018797362972	0.068007525089952	8.04350395988447	8.73053847832206e-16	1.92071846523085e-15
SeC	198.082362177713	-0.417048822814085	0.20165974862279	-2.06808163583595	0.0386323472361331	0.0462687177929865
Ser	5914.21355741529	-0.429871203296058	0.0679598259040654	-6.32537234428588	2.52622677573673e-10	4.63141575551733e-10
Thr	2238.71928434722	0.152054011202414	0.0740221561577037	2.05416890151732	0.039959347184852	0.0462687177929865
Trp	1142.76870122199	-1.41944017366894	0.107367276506208	-13.2204170568382	6.6892016281681e-40	2.45270726366164e-39
Tyr	807.357717620187	0.742885379723317	0.116922267277961	6.35366895475305	2.10239033272688e-10	4.20478066545376e-10
Val	5267.58662065836	-0.808540427497109	0.0793100460218949	-10.1946785817511	2.09436151116244e-24	5.75949415569671e-24
iMet	4837.09377329498	0.893197839929126	0.0744847641175639	11.9916851521384	3.92831147270463e-33	1.23461217713574e-32
