baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	817.572619322091	-0.135768203085122	0.0949588027619051	-1.42975900218056	0.152786199560373	0.22408642602188
Arg	5239.2440068757	0.408651501380595	0.079065065910627	5.16854690088443	2.35921087531512e-07	2.59513196284663e-06
Asn	2083.37424170948	0.0794600499549756	0.0829676607965155	0.957723156132573	0.338202376952175	0.391602752260413
Asp	3177.38388900249	-0.141632053742202	0.082672981451888	-1.71316010690416	0.0866830885662816	0.146694457573707
Cys	519.040426829635	-0.116124930348632	0.102474633971839	-1.13320658828159	0.257127508126081	0.332753245810223
Gln	2304.28940103378	-0.320075382022565	0.103869465188596	-3.08151564505895	0.00205949653495997	0.00703490826502774
Glu	3155.69132404581	-0.260884821346405	0.0927080050414922	-2.81404848728698	0.00489218486975903	0.0134535083918373
Gly	3001.42773362873	-0.177120713384518	0.0838404462062291	-2.11259268526362	0.0346356453375189	0.0692712906750378
His	1285.77438891987	-0.498751160605836	0.0914162734702341	-5.4558246762075	4.8746072604806e-08	1.07241359730573e-06
Ile	2667.32662601292	0.206785433658626	0.10499790482944	1.9694243803677	0.0489043783469889	0.0896580269694797
Leu	3835.72659207432	0.103196558447535	0.0807981221807081	1.27721481220482	0.201526418992297	0.277098826114409
Lys	8470.54124993882	0.336723612703185	0.0707981467297043	4.75610772678472	1.97361179613222e-06	1.44731531716363e-05
Met	6792.12538530409	0.2032058895436	0.0903734882603162	2.24851218488187	0.0245435490014628	0.0539958078032182
Phe	835.193186844604	-0.0170731629478808	0.0851642022032217	-0.200473467797423	0.84111030642119	0.84111030642119
Pro	4469.94499356188	0.0607244710740215	0.0995130031904706	0.610216445360343	0.541718437270439	0.567514553330936
SeC	100.329956777853	0.495458011772328	0.162092726395589	3.05663321723122	0.00223837990250883	0.00703490826502774
Ser	2717.40839003829	0.244546838899767	0.0897077743130879	2.72603841497925	0.006409953763674	0.0156687758667587
Thr	1135.98038424691	-0.0689504266532582	0.0816748604685851	-0.844206237484531	0.398554169632744	0.438409586596018
Trp	327.840433687505	0.172050849743957	0.113274293030566	1.51888698786697	0.128790944867147	0.202385770505517
Tyr	430.277256706379	-0.464680621608801	0.120078150043821	-3.86981829283032	0.000108916500239292	0.000479232601052887
Val	1947.55875030788	0.0870090248754834	0.0805637632470138	1.08000199306366	0.280141292653301	0.342394913242924
iMet	3601.84687367294	0.403183351146549	0.0988890260827011	4.07712935517603	4.55951296205078e-05	0.000250773212912793
