baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	4788.5353285133	-0.210497080817046	0.0676669471659777	-3.11078140263556	0.00186593013338424	0.0136834876448178
Arg	9341.50915952602	-0.129702787869939	0.0580483249929313	-2.23439329017217	0.0254572068107194	0.0983554355868259
Asn	4288.59588458021	0.0649104307141894	0.0573775589722488	1.13128602674756	0.257934723672187	0.430131399673935
Asp	9429.46415774614	-0.123548184834267	0.0675782718531375	-1.82822350211565	0.0675160151849336	0.21219319058122
Cys	2207.19706378076	0.0948063148117259	0.0775352199413337	1.22275160737869	0.221423528363843	0.430131399673935
Gln	8213.04819664139	0.194133920451238	0.055440521971383	3.50166112345488	0.000462367303773919	0.00582809616462737
Glu	10773.7315562541	-0.081387898377874	0.0648606902370134	-1.25481085817106	0.209547429935556	0.430131399673935
Gly	15657.8950779246	-0.0683409764645544	0.0589053220487112	-1.16018339409197	0.245974146465012	0.430131399673935
His	3230.15098021416	0.152346290588954	0.0615262250876551	2.47611957944615	0.0132819084903135	0.0730504966967243
Ile	1902.98047180691	-0.00888041868771867	0.111571171313709	-0.0795942050545409	0.936560004291663	0.936560004291663
Leu	9124.50948006109	-0.0697182924171859	0.0636966664271587	-1.09453596754413	0.273719981610686	0.430131399673935
Lys	8212.54974326609	-0.0145182625258597	0.0553725287945224	-0.262192513904041	0.793173024606829	0.918410870597381
Met	1867.1422229417	-0.0383213134753728	0.0787554817148836	-0.486585982853948	0.626551758955609	0.861508668563963
Phe	1748.94090444609	-0.0304463122779891	0.103362261226523	-0.294559270634229	0.768330579640102	0.918410870597381
Pro	6960.55905857904	-0.0634348119589971	0.051804983390758	-1.22449246784845	0.220766505999829	0.430131399673935
SeC	311.083237986069	0.430872543817213	0.194606872908194	2.21406642724524	0.026824209705498	0.0983554355868259
Ser	7939.0810832836	-0.0072559587275643	0.0687564655648058	-0.10553129320944	0.915954240228673	0.936560004291663
Thr	2396.00492685552	-0.107919981749345	0.0735133334334523	-1.46803275962229	0.142095324526034	0.390762142446593
Trp	2017.90839307309	0.0998695207816145	0.115460040294926	0.864970430691974	0.387055018535184	0.567680693851603
Tyr	714.00687828914	0.018851937022109	0.116658070647939	0.161599938327474	0.871620905881705	0.936560004291663
Val	7934.4318713799	0.0288794809296383	0.0881809010260059	0.327502674543111	0.743287720411534	0.918410870597381
iMet	4260.23969568014	0.197705124057849	0.0570543760171601	3.46520526310525	0.000529826924057034	0.00582809616462737
