baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	1307.98390577268	-0.828963746399141	0.0864385693676715	-9.59020669202766	8.79087282909688e-22	2.41749002800164e-21
Arg	4524.7715144583	-0.316409143743082	0.0776764032834173	-4.07342681133938	4.63264140638459e-05	6.36988193377882e-05
Asn	2064.2638180263	0.437312945538627	0.0704600566875744	6.20653695295348	5.41648891090652e-10	9.16636584922642e-10
Asp	4455.05233493759	-0.621220875870794	0.0857354783918843	-7.24578537990171	4.29940467838541e-13	9.45869029244789e-13
Cys	598.632946353151	-0.647339314487198	0.100966066304927	-6.411454245748	1.4413801983419e-10	2.64253036362682e-10
Gln	1561.47674775036	-0.057912211326208	0.0801861846801318	-0.722221808622318	0.470158117104462	0.492546598871341
Glu	3798.65290174496	-0.265140969193506	0.0800578869092419	-3.31186569405815	0.000926760263659522	0.00113270698891719
Gly	5000.22121733125	-1.49209714290008	0.0658408224980171	-22.662188689168	1.05790493646828e-113	7.75796953410072e-113
His	916.010862959663	0.485797917668204	0.0911343597509868	5.33056817423841	9.79059705253743e-08	1.43595423437216e-07
Ile	1440.94158442759	2.40650422824838	0.0786216433858825	30.6086737011719	9.3833513104444e-206	1.03216864414888e-204
Leu	4368.51444302182	0.206195043847451	0.0694596157221844	2.96856010076651	0.00299198585288064	0.00346440467175653
Lys	5345.28410002009	1.6438770181292	0.0740148786945462	22.2100886622182	2.74395667723143e-109	1.20734093798183e-108
Met	2525.27882930291	3.59405109606967	0.0820385311513925	43.8093057692278	0	0
Phe	699.915758973287	2.20084047048258	0.0976252549592401	22.5437615645815	1.54609111269673e-112	8.50350111983202e-112
Pro	3073.11567891616	-0.311070952214297	0.0871806173167292	-3.56812055005494	0.000359551082051879	0.000465301400302432
SeC	93.0049114234257	-0.168382325379491	0.196588956030543	-0.856519759702731	0.391710347894476	0.430881382683923
Ser	3657.55912530931	-0.464301139823185	0.0722099304172572	-6.42987934125226	1.27705274946036e-10	2.55410549892072e-10
Thr	864.363468789955	0.805164665188976	0.0854040464814357	9.4277109617282	4.19135702615296e-21	1.02455393972628e-20
Trp	372.165834770631	-0.686711665867124	0.110922573254767	-6.19090998087361	5.98178657368945e-10	9.39995033008341e-10
Tyr	261.425346331734	1.64924082740297	0.142451592469986	11.5775527588465	5.35530832100701e-31	1.68309690088792e-30
Val	2570.02528840612	-0.0402718385868487	0.0767541598316739	-0.524686071415113	0.599801441563109	0.599801441563109
iMet	2754.75155440183	1.44347639187595	0.0699376520179543	20.6394745923896	1.21374705551936e-94	4.45040587023764e-94
