baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	1640.21514126191	-0.817580802599873	0.0829455439623207	-9.85683815602285	6.40341111784534e-23	2.01250063703711e-22
Arg	5559.44035386159	-0.15229561593009	0.0697069879921319	-2.18479696680166	0.0289037365552655	0.0334674844324126
Asn	2383.64199533333	0.339933930022015	0.0813140035135519	4.18050908003025	2.90857196308753e-05	3.99928644924535e-05
Asp	5426.24928741194	-0.572277211909307	0.0718554583232477	-7.96428309363598	1.66184407351737e-15	4.57007120217278e-15
Cys	766.791359613534	-0.648131309256234	0.116902458215011	-5.54420599149565	2.95291043099322e-08	5.41366912348757e-08
Gln	1980.45082078484	0.0974163336112061	0.112649721337432	0.864772078036524	0.38716389937137	0.38716389937137
Glu	4405.94709641728	-0.309789844168516	0.0951889749207452	-3.25447190104158	0.00113603397807939	0.00147016161869097
Gly	6132.66235988916	-1.412087493378	0.0646614552752077	-21.8381644422936	1.00721110960911e-105	5.53966110285009e-105
His	1255.48525019944	0.828567175239521	0.112408819464613	7.37101571910341	1.69332874707786e-13	3.72532324357128e-13
Ile	1619.35853280585	2.21419502439299	0.089745889956533	24.6718264810277	2.14642149503183e-134	2.36106364453502e-133
Leu	4840.12196304062	0.082900924604114	0.0626117167524292	1.32404810000514	0.185487070574716	0.194319788221131
Lys	6680.71180855898	1.72121282898447	0.0733064837577961	23.4796806605994	6.57942187037814e-122	4.82490937161064e-121
Met	2927.68215092379	3.42419089764745	0.0792936296204378	43.1836821449383	0	0
Phe	766.417327758616	1.87854924235466	0.134344175294733	13.9831089679428	1.97661119548432e-44	7.2475743834425e-44
Pro	3613.85973876762	-0.378526748795508	0.0701045385813469	-5.39946138232233	6.6841269800323e-08	1.05036281114793e-07
SeC	141.957489905851	-0.648376502911969	0.271556670551161	-2.38762870967596	0.0169574637844314	0.0207257890698606
Ser	4242.32280670786	-0.550058464227719	0.0715137796804296	-7.69164301881037	1.45257437137483e-14	3.55073735224959e-14
Thr	988.235910165461	0.638753891593071	0.117295346667829	5.44568825395922	5.16054508248535e-08	8.7332301395906e-08
Trp	440.20576765927	-0.767480115654292	0.144817866803466	-5.29962312382248	1.16041960882399e-07	1.70194875960852e-07
Tyr	316.279848119294	1.23703094650601	0.17466871061302	7.08215536809375	1.41929398980694e-12	2.83858797961388e-12
Val	3135.34918250116	-0.125566768877652	0.0701932051684047	-1.78887356085817	0.0736351806488135	0.0809986987136948
iMet	3692.10321717659	1.53772799293234	0.0781975528016543	19.664656217986	4.33092935913556e-86	1.90560891801965e-85
