baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	746.364309100369	-0.0923922888253152	0.115628463296965	-0.799044510243354	0.424264603340528	0.582779801349633
Arg	3244.11635586641	-0.142781597146713	0.0637857795565981	-2.23845499951945	0.0251913988473885	0.138552693660637
Asn	1768.46015875883	0.0782444844741633	0.0674851793840351	1.15943211810849	0.246280091270715	0.494627749983803
Asp	2749.72613153818	-0.0708470876517201	0.0774589604034727	-0.914640311239496	0.360380488954407	0.566312196928353
Cys	370.315626839815	-0.11277994286429	0.137760165432386	-0.818668753121113	0.412975428843508	0.582779801349633
Gln	1247.00596424332	-0.179748720098041	0.0929633953863665	-1.9335429751784	0.0531693443475231	0.194954262607585
Glu	2588.97537763084	0.0549765628397248	0.0584405677900433	0.940726021643672	0.346845280336227	0.566312196928353
Gly	2085.70651382837	-0.109412062545983	0.0649627083662286	-1.68422877213139	0.0921374647734918	0.253378028127102
His	931.455666172508	-0.350065707083797	0.120943706648423	-2.89445161542319	0.00379821441145824	0.0417803585260407
Ile	1788.61433091063	0.106553099074498	0.0730205649940007	1.45922041391014	0.144504451934078	0.353233104727745
Leu	3401.88712195533	0.150994448010158	0.0658193567604398	2.29407358932003	0.0217862721058287	0.138552693660637
Lys	6407.30701348019	-0.0977560087556768	0.0501731441021591	-1.94837318858537	0.0513703255298842	0.194954262607585
Met	3513.51244953019	0.0431875921057104	0.0572123208838033	0.754865235993891	0.450329846497444	0.582779801349633
Phe	827.403349966265	0.18107335208402	0.101764693411553	1.77933373563786	0.0751850632332365	0.236295913018743
Pro	2065.02400857903	0.0450191925199459	0.0663619533689666	0.678388598202395	0.497525336438329	0.608086522313513
SeC	68.5862856596187	-0.0887430500202469	0.312482316914601	-0.283993830103671	0.776415108932397	0.813387256976796
Ser	2290.18369066635	0.0769039715973243	0.071022729756975	1.08280788221565	0.278893706183965	0.511305128003935
Thr	807.804456927741	0.114351746252443	0.0988433788590517	1.15689839392789	0.247313874991902	0.494627749983803
Trp	214.232609601069	0.0562520555731449	0.173005096436763	0.325146812040339	0.745069961169349	0.813387256976796
Tyr	294.36966461663	0.082469053725151	0.166112662653927	0.496464582576488	0.61956666960047	0.717392985853176
Val	1943.08838546914	-0.00240418268666175	0.0836280589278505	-0.0287485171542239	0.977065161247209	0.977065161247209
iMet	3319.05071829599	-0.205052439900113	0.0625833161260397	-3.276471312053	0.00105112990610231	0.0231248579342507
