baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	320.271167826352	-0.881952917865154	0.353955523604802	-2.49170548006441	0.0127131407146542	0.0349611369652991
Arg	1282.95662933754	-0.0292375935540732	0.297173557513693	-0.0983855824814632	0.921626122647522	0.965513080868833
Asn	441.558637896223	-0.244741018393477	0.338481403768777	-0.723056025141825	0.469645464661849	0.60777648368004
Asp	1523.65012372706	0.153485652292579	0.299784974686863	0.511985807337077	0.608660942595106	0.743918929838462
Cys	557.347257813169	-0.564450661198848	0.343854088600719	-1.64154122318517	0.10068511722424	0.221507257893327
Gln	510.8755310406	-1.34442274934963	0.338348238140955	-3.97348825203442	7.08276531325001e-05	0.000519402789638334
Glu	1450.82464443023	0.168992031815946	0.373096839382413	0.452944152771915	0.65058895638431	0.753313528444991
Gly	2881.29976677265	0.236701126385945	0.295323777099291	0.801497016971861	0.422843970313891	0.60777648368004
His	455.672392797738	-1.06161314665686	0.418548858782513	-2.5364139081514	0.011199427617968	0.0349611369652991
Ile	203.045286233781	1.05923815023815	0.381252808559728	2.77830910738645	0.00546426095256491	0.020035623492738
Leu	774.566182543347	0.33419686645773	0.314401131913391	1.06296330558311	0.28779859231624	0.487043771612098
Lys	1165.73885502222	0.938628911484663	0.326576582826205	2.87414640499247	0.00405121119939536	0.0178253292773396
Met	265.101813171082	1.68608843227392	0.373125234345612	4.51882713114	6.21831387906754e-06	6.84014526697429e-05
Phe	141.791198666762	0.343221058687642	0.378411006225068	0.907006014733896	0.364403616554586	0.572634254585779
Pro	1388.72327305178	-0.893652793730801	0.30843473767502	-2.89738049762862	0.00376293066161359	0.0178253292773396
SeC	46.0671054383889	0.00383075276258841	0.545403114971739	0.00702370899144372	0.994395937113254	0.994395937113254
Ser	586.456097131956	0.0589191362883642	0.317344027035329	0.185663290526672	0.852708817646027	0.937979699410629
Thr	315.921825700862	-0.243302774895173	0.326655617235938	-0.744829606647909	0.456374734328328	0.60777648368004
Trp	132.900682155073	-0.751509496940432	0.410552225734769	-1.83048452750548	0.0671775183327085	0.164211711479954
Tyr	250.249115510033	0.384337077717491	0.349431418929086	1.0998927311556	0.271378862152756	0.487043771612098
Val	1180.52763499893	0.422976907340057	0.354209679139184	1.19414271334424	0.232422147425286	0.464844294850573
iMet	1415.28480913116	3.05222348808959	0.370698495503236	8.23370886344193	1.81504493229467e-16	3.99309885104828e-15
