baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	456.728404528529	-0.425230019602512	0.293186162676059	-1.4503754737987	0.146953842670359	0.323298453874791
Arg	2412.88694998348	0.918101115597056	0.321048188795739	2.85969878553397	0.00424043563231919	0.0233223959777556
Asn	685.226693561821	0.318314875666794	0.268765164266067	1.18436061658525	0.236270343134703	0.472540686269406
Asp	1894.83735105074	0.0898157310762086	0.303263152537886	0.296164338873936	0.767104581250283	0.937572265972568
Cys	582.624236579303	-1.50616033395948	0.313205475060916	-4.80885697693036	1.51795759995389e-06	3.33950671989855e-05
Gln	926.868465541598	-0.00745432340197924	0.32187639366519	-0.0231589627219854	0.981523472823914	0.981523472823914
Glu	1856.57172227218	0.254575228311113	0.345980376038624	0.735808288394639	0.461847376416125	0.653402544861092
Gly	2510.93892801281	-1.08531543920365	0.300923083557049	-3.60662075629003	0.000310210529246039	0.00341231582170643
His	669.013225851106	-0.40927726805542	0.383841112013329	-1.06626740921178	0.286302777631247	0.524888425657286
Ile	211.760007497114	0.656566062900318	0.300715830983431	2.18334385906172	0.0290104969482508	0.0911758475516455
Leu	885.022607702433	0.012199084309645	0.365667285494516	0.0333611586093828	0.973386583348611	0.981523472823914
Lys	1524.25157008248	1.00664907321383	0.362214666134524	2.77915050750586	0.00545012662401568	0.023980557145669
Met	204.278921492549	0.643261908683631	0.267924415239038	2.40090813713159	0.0163544415393252	0.0599662856441922
Phe	169.157973288165	0.189512495456591	0.265408436762477	0.714040961803307	0.475201850808067	0.653402544861092
Pro	1876.47178046769	-0.700809882415886	0.338205962155074	-2.0721393494966	0.0382524475889324	0.105194230869564
SeC	50.7817335351118	-0.573310123506431	0.390541575660096	-1.46798742883499	0.14210763768176	0.323298453874791
Ser	737.637098599702	-0.00703269179259974	0.286823343732589	-0.0245192448462509	0.980438433161642	0.981523472823914
Thr	482.424886241299	0.257071326528562	0.292684289603169	0.878322942707677	0.379768488648637	0.596779053590715
Trp	197.544279265285	-0.172248491838425	0.274687417052606	-0.627070921874216	0.530612746851075	0.686675319454332
Tyr	269.700587299332	-0.031806760523127	0.378334959200291	-0.0840703713723912	0.933000481445625	0.981523472823914
Val	1424.3230211421	0.323872277208899	0.324099228909483	0.999299746249482	0.317649508329255	0.537560706403355
iMet	294.271328307076	-0.993027798277016	0.335575609546208	-2.95917751477787	0.00308461360001846	0.0226204997334687
