baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	790.737075317246	0.149209654788125	0.206743323697179	0.721714501439841	0.470470024500598	0.76931472372311
Arg	2522.51197892815	0.0407896953907288	0.229732997939234	0.177552618720964	0.859074337952609	0.94498177174787
Asn	1004.61804724249	-0.113432588658549	0.164156532462878	-0.691002587327439	0.489563915096525	0.76931472372311
Asp	1339.42652276995	-0.000557265605262731	0.184919178824473	-0.00301356305389876	0.997595528205682	0.997595528205682
Cys	188.572584016487	-0.185548553332704	0.237323829739177	-0.781837009526708	0.434310367789224	0.76931472372311
Gln	804.498914549837	-0.202380985147721	0.18705161308095	-1.08195263229373	0.279273576102511	0.722582789605295
Glu	1601.72390380442	0.099812080040192	0.16431602947328	0.607439702384134	0.543559147116209	0.797220082437107
Gly	1842.36172319813	-0.219994239656596	0.20434615698087	-1.07657634920529	0.28166957491589	0.722582789605295
His	509.147095290689	-0.305591049752082	0.232495669904709	-1.31439458583178	0.188713451518876	0.691949322235879
Ile	1402.04027902931	0.279144896573461	0.174340138940337	1.60115105029823	0.109343467528867	0.675706716563291
Leu	1499.09690740316	0.234925186570804	0.1619773165477	1.45035855376467	0.14695855849961	0.675706716563291
Lys	5947.22382936165	0.187587932981919	0.179353600716862	1.04591116226351	0.295602050293075	0.722582789605295
Met	1193.47469473738	0.359733049016611	0.19423826786501	1.85201944483265	0.0640230307358882	0.675706716563291
Phe	448.38042499024	-0.0550889838548158	0.218753952101128	-0.251830805001177	0.801171845544403	0.94498177174787
Pro	886.540169966207	-0.011673729048338	0.175032423393936	-0.0666946661765894	0.946824780633561	0.991911674949444
SeC	32.0056269369377	-0.12144091148049	0.522231262896322	-0.232542400481681	0.816116758821243	0.94498177174787
Ser	3122.35432804416	0.145645831737199	0.152844195977807	0.952903908489573	0.340638759594169	0.749405271107171
Thr	643.060011069193	-0.0336029391766458	0.185057608000358	-0.181580965731389	0.855911587652257	0.94498177174787
Trp	137.310796842137	-0.38629876740638	0.270700210760073	-1.42703534039271	0.153569708309839	0.675706716563291
Tyr	185.500517878314	0.26740572257423	0.3619444694641	0.73880317323305	0.460026524666347	0.76931472372311
Val	1666.72336761025	0.0498281903357175	0.174461423923075	0.285611507777721	0.775175688529582	0.94498177174787
iMet	3353.51449473113	1.72870670362837	0.262967951081165	6.57383037180376	4.9037094306695e-11	1.07881607474729e-09
