baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	896.855249038331	0.0223022653759727	0.122375323278867	0.182244792319369	0.855390622353475	0.972661891362026
Arg	1732.13541541113	0.0183538471682742	0.130492841041196	0.140650222815519	0.888146270496608	0.972661891362026
Asn	841.164017865601	-0.0285961305731493	0.153660604457063	-0.186099297696957	0.852366892650809	0.972661891362026
Asp	2595.73101032647	0.0337912361956523	0.116369871747581	0.290377876061847	0.771527167249043	0.972661891362026
Cys	542.007301709352	-0.0108447820843609	0.164591000773946	-0.0658892772591827	0.947465977539725	0.972661891362026
Gln	877.810814664841	-0.0550267458190878	0.130207424820332	-0.422608356589626	0.67258102860701	0.972661891362026
Glu	4212.42783721867	0.0052656346738555	0.153651682393412	0.0342699447987382	0.972661891362026	0.972661891362026
Gly	11785.5387106507	0.0826198414267501	0.140363685907713	0.588612652143316	0.556121144605739	0.972661891362026
His	1122.30584476229	0.0730973585572012	0.156068005416668	0.468368634314554	0.63952099426758	0.972661891362026
Ile	557.919710166209	0.0757866631787601	0.14444320710847	0.524681393441008	0.599804694073969	0.972661891362026
Leu	4406.97218643378	-0.0894254608851822	0.107415121185669	-0.832522087189274	0.40511431636566	0.972661891362026
Lys	3830.87200835581	0.203959059731025	0.15959322528392	1.27799321912429	0.201251817185493	0.972661891362026
Met	337.394914923621	-0.0419181151805089	0.152091331888202	-0.275611467531375	0.782846500883109	0.972661891362026
Phe	923.96042353245	0.121195199701856	0.125807496352275	0.96333845927985	0.335377698869763	0.972661891362026
Pro	621.074689914424	0.093711545995356	0.212317937460422	0.44137366402603	0.658942504918124	0.972661891362026
SeC	297.094563003756	-0.0607878409947461	0.18243040693018	-0.333211124272781	0.738974921541519	0.972661891362026
Ser	3917.47733838957	0.0566288814099666	0.133709892597265	0.423520506298912	0.671915540348986	0.972661891362026
Thr	394.286464603312	-0.0084909591900694	0.158340585111125	-0.0536246546273045	0.957234213217689	0.972661891362026
Trp	244.725832049922	0.0761850501742138	0.180234579211238	0.422699409334341	0.672514586603096	0.972661891362026
Tyr	75.1950009160774	-0.300064993723602	0.316012883244551	-0.949534052671493	0.342349061293494	0.972661891362026
Val	6017.81784717946	0.13923923451698	0.144578671343287	0.963068986755116	0.335512904171549	0.972661891362026
iMet	4278.40895312596	0.0176849612340332	0.156248697172516	0.113184695642659	0.909884128801464	0.972661891362026
