baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	979.833080923606	-0.758931712766154	0.114262992044507	-6.64197304119725	3.09511585746671e-11	6.19023171493341e-11
Arg	3383.5093939014	-0.488521880493471	0.105946102972085	-4.61104152761699	4.00656481147551e-06	5.87629505683075e-06
Asn	1559.07020828684	0.463418114577049	0.120060719199842	3.8598645557477	0.000113449889811117	0.000146817504461446
Asp	4115.25383414779	-0.451296772131915	0.108795927860254	-4.14810352747392	3.35240803147247e-05	4.60956104327464e-05
Cys	435.762380336157	-0.605330486348559	0.122962396040901	-4.92289111011797	8.52749072843312e-07	1.3400342573252e-06
Gln	1443.58497045086	0.185031736149732	0.114332433674076	1.61836611190483	0.10558372068004	0.122254834471625
Glu	3009.53037086392	-0.0708924835260362	0.0935825233728086	-0.757539773143527	0.448726546917867	0.448726546917867
Gly	4159.26165508465	-1.32464612733997	0.112835563351085	-11.7396154900062	7.98486486116805e-32	2.92778378242828e-31
His	961.889574798649	0.923928298097565	0.125051223579339	7.38839870296334	1.48607572736853e-13	3.63262955578974e-13
Ile	891.828358455813	2.28588293932176	0.116008991735559	19.7043600252332	1.97827550063327e-86	2.1761030506966e-85
Leu	2644.47905840872	-0.173199200472767	0.101647898046715	-1.70391325153786	0.0883972949536792	0.108041138276719
Lys	4035.77222804264	1.76869535790786	0.100269534859003	17.6394092223023	1.22737430289677e-69	9.00074488790961e-69
Met	1639.6538635658	3.38532715540608	0.118036030165933	28.680455879845	6.68862150024858e-181	1.47149673005469e-179
Phe	433.367692086563	1.83829382522352	0.156022595699999	11.7822281892951	4.82017663615558e-32	2.12087771990845e-31
Pro	2523.09516041611	-0.475050712517634	0.0885143362279148	-5.36693526452517	8.00857843566225e-08	1.35529788911207e-07
SeC	94.0556087758173	-0.253448227860866	0.2193785027657	-1.15530111048097	0.247967141375482	0.27276385551303
Ser	2857.2557503705	-0.732477053104257	0.0981225741043492	-7.46491885063368	8.3350964927059e-14	2.29215153549412e-13
Thr	614.441972159911	0.788436911371729	0.118162115678863	6.67250164608184	2.51479229409153e-11	5.53254304700136e-11
Trp	271.668661009066	-0.798498912381199	0.141242736190715	-5.65338037138431	1.57322620287075e-08	2.88424803859638e-08
Tyr	214.43613461377	2.0951803934439	0.158737943120175	13.1989891783952	8.8920222005994e-40	4.89061221032967e-39
Val	1982.36591523208	-0.098123204177236	0.110253717493772	-0.88997637819132	0.373478570051314	0.391263263863281
iMet	1946.62001825506	1.12564069347635	0.108286798996321	10.3949946245488	2.61301679070367e-25	8.21233848506869e-25
