baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	683.519506833867	-1.61587241860032	0.256805535240947	-6.2922024522728	3.12992894900454e-10	8.6073046097625e-10
Arg	1231.79052191937	-0.035129885936796	0.159565428329969	-0.220159757063104	0.825746736888796	0.825746736888796
Asn	749.713113180486	0.827183589416909	0.176081522699565	4.69773078250959	2.63067863186488e-06	5.78749299010275e-06
Asp	863.74885214478	-0.386249753350086	0.258992141586492	-1.49135703880457	0.135867781016281	0.175828893079893
Cys	226.657286190214	-0.73334398594537	0.20023670024123	-3.66238549207959	0.000249877458060151	0.000392664576951666
Gln	575.001916859001	0.274751679768768	0.168588467082395	1.62971812083971	0.103161085732923	0.141846492882769
Glu	3717.66745007421	-2.88453535483153	0.629902107121241	-4.57933911034898	4.66447425828856e-06	8.5515361401957e-06
Gly	2947.37221229348	-2.40465184897954	0.241960989926844	-9.93817990952417	2.83968026739606e-23	1.56182414706783e-22
His	258.759909753627	-1.471008649441	0.193540970101709	-7.60050261537884	2.94982802458428e-14	1.29792433081708e-13
Ile	476.895120747544	2.02265644278079	0.143462882655085	14.0988136119061	3.86207857102024e-45	8.49657285624453e-44
Leu	1771.79141644254	-0.150518642140017	0.154263197188693	-0.97572619317558	0.329200168476152	0.351293019150604
Lys	1803.28022404831	0.703487840520716	0.150855831877086	4.66331219527466	3.11160152579988e-06	6.22320305159976e-06
Met	303.341675036843	1.91469462435165	0.173725196926012	11.021398497347	3.01340496234352e-28	2.20983030571858e-27
Phe	195.403198428342	0.367933354007187	0.314648355256787	1.16934777461943	0.242263542154987	0.296099884856096
Pro	727.419178521284	0.168512976499565	0.17490701697974	0.963443202047662	0.335325154643758	0.351293019150604
SeC	71.1150740242295	-1.61929600584142	0.328901233546251	-4.9233503577411	8.5074937758391e-07	2.07960958964956e-06
Ser	1405.02917703402	0.361027584493609	0.109873165485523	3.28585767869934	0.001016723669867	0.00149119471580493
Thr	411.443367572351	0.99107800545163	0.139503129054451	7.10434247725577	1.20896722654206e-12	3.79961128341789e-12
Trp	107.357356801435	-1.11362596800237	0.277016331442727	-4.02007333720185	5.81800274345481e-05	9.84585079661583e-05
Tyr	115.157997571393	0.291210062481947	0.279825692508952	1.04068379093757	0.298022328446324	0.345078485569427
Val	1319.74436838727	-1.43091785328184	0.12879644232416	-11.1099175370112	1.12263138525209e-28	1.2348945237773e-27
iMet	1142.72301684812	1.37292462010965	0.18715338611973	7.33582570197974	2.20358648658617e-13	8.07981711748262e-13
