baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	1695.65506270521	0.198449755466066	0.306045142782853	0.648432952281394	0.516704963088189	0.757701996646213
Arg	1932.48468451059	-0.000129692540635144	0.203107016953796	-0.000638542885323588	0.999490516525012	0.999490516525012
Asn	710.934333609948	-0.498686984741975	0.189938806503585	-2.62551394273693	0.00865182654364233	0.0634467279867104
Asp	1350.75949233286	-0.36909671336858	0.342364916239728	-1.0780798378013	0.280998128530722	0.561996257061443
Cys	444.69591887066	0.0522426710309534	0.178416884266821	0.29281237168577	0.769665571289869	0.891191714125112
Gln	827.4318776163	0.10255575644313	0.210312732175904	0.487634559173306	0.625808712147801	0.809870098073625
Glu	8592.44930100745	-0.464670543182131	0.62157942650138	-0.747564226502113	0.454723049255006	0.757701996646213
Gly	8303.28222235467	0.214968361955694	0.270584945149683	0.794457954180628	0.426928877056299	0.757701996646213
His	621.019271946364	0.176590806370163	0.253353014127855	0.697014823281504	0.485793517182272	0.757701996646213
Ile	283.416460671894	-0.0580672438489291	0.140910283162694	-0.412086630908868	0.680275927321634	0.831448355615331
Leu	2911.17339122971	0.0279223452197159	0.191271437540243	0.145982827226052	0.883934945076122	0.972328439583735
Lys	1853.56922309422	-0.393428594133146	0.157314090305262	-2.50091135110473	0.0123874181521038	0.0681307998365711
Met	236.234171913737	0.509465151620049	0.240320641871511	2.11993920976808	0.0340111722004637	0.106892255487172
Phe	241.270006200356	-0.206560546588507	0.346474339606605	-0.596178484164341	0.551055997560882	0.757701996646213
Pro	890.8890714483	-0.556843539383092	0.211875728204739	-2.62816106451328	0.00858478577366741	0.0634467279867104
SeC	168.224728830369	0.00735104776198962	0.2457496503722	0.0299127496248971	0.976136637669945	0.999490516525012
Ser	2228.15302870184	0.431213350542493	0.0981530016166355	4.39327726549535	1.11654577544906e-05	0.000245640070598793
Thr	453.605144614195	0.188557524043378	0.123612391160284	1.52539338713124	0.127161007172706	0.349692769724942
Trp	254.334242737902	0.323633839711908	0.1419277024352	2.28027252015631	0.0225915305534601	0.0828356120293536
Tyr	130.749857652651	-0.607847321426216	0.258800633940873	-2.348708780849	0.0188386344543176	0.0828356120293536
Val	3097.46494480743	0.119208624659305	0.107905167909479	1.10475361809648	0.269266363192918	0.561996257061443
iMet	892.066325219356	-0.284944516631305	0.248810135330181	-1.14522873536953	0.25211441788388	0.561996257061443
