baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	5813.36425140726	-0.592349486181131	0.0856520078346342	-6.91576883200173	4.65332682625182e-12	2.0474638035508e-11
Arg	15202.3897506815	0.0936255984713903	0.106348285360387	0.880367729052865	0.378660132683016	0.438448574685597
Asn	4016.79540070599	-0.568164397604433	0.0982154241699045	-5.78487953808107	7.25643108019612e-09	2.28059262520449e-08
Asp	15538.4142182844	0.103851983029978	0.0867325463181007	1.19738192222663	0.231157726560629	0.282526110240769
Cys	5477.01696316888	-0.734813606999037	0.113759558404036	-6.45935706245642	1.05148749559295e-10	3.85545415050747e-10
Gln	14379.2023615584	-0.202039974708198	0.0784820075498799	-2.57434768828754	0.0100429294017188	0.0147296297891876
Glu	11395.1125524009	0.0482411559632039	0.0963868791889144	0.500495050458613	0.616726540400895	0.650521747989637
Gly	31650.1338815012	0.26041670233405	0.0934591375007493	2.78642312884561	0.00532932565021995	0.00837465459320279
His	10861.4243939438	0.422001684658824	0.0849024974327856	4.97042722439241	6.68055337812157e-07	1.63302415909638e-06
Ile	7262.76360698459	2.38317136205052	0.207159234865135	11.5040556294872	1.25859424100051e-30	9.22969110067039e-30
Leu	19385.5794181358	-0.0237893029105616	0.1195351127656	-0.199015187756678	0.842250864118589	0.842250864118589
Lys	7177.52494437664	0.0734110595742329	0.148454900717468	0.494500748843214	0.620952577626471	0.650521747989637
Met	1534.06462354843	0.715525112046945	0.173789709035998	4.11718919385921	3.83521225744123e-05	7.76117646844144e-05
Phe	2692.77038539422	0.48332335230849	0.140171226748144	3.44809247604655	0.000564560706633251	0.000955410426610117
Pro	17098.9289227333	0.784854680079755	0.150960890088144	5.1990597009695	2.00299190292253e-07	5.50822773303696e-07
SeC	65.6679182242616	-1.75282227788575	0.42601342134935	-4.11447665741112	3.88058823422072e-05	7.76117646844144e-05
Ser	19929.4597048437	-0.337982487603646	0.090565721285613	-3.73190300707445	0.000190038677873047	0.000348404242767252
Thr	4097.95626239132	-0.161024337831325	0.0806865965950385	-1.99567641499985	0.045969155877189	0.0594894958410681
Trp	2415.08078164338	-1.65627228820921	0.100017752197477	-16.5597831566843	1.360835987105e-61	1.4969195858155e-60
Tyr	1011.50873723729	1.23756698678003	0.141817002123425	8.72650647136771	2.62660327568868e-18	1.44463180162877e-17
Val	9120.69961621902	-0.250421789669072	0.0996099271505742	-2.51402442339431	0.0119362167431671	0.0164122980218548
iMet	13087.9418190342	1.91662205823838	0.11044749010644	17.353242309004	1.86419169737628e-67	4.10122173422781e-66
