baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	11927.9909302118	-0.785834276366886	0.061825974124634	-12.7104228844455	5.1753807739915e-37	1.89763961713022e-36
Arg	25989.1234718241	-0.367021823096254	0.0565361459743016	-6.49180832494459	8.48121221241237e-11	1.43528206671594e-10
Asn	7472.08660088135	-0.25607463864877	0.0640960162250424	-3.9951724573597	6.46471772525863e-05	8.36610529151116e-05
Asp	29629.0229742762	0.11820117331701	0.0553700025553156	2.13475109015797	0.0327813473396767	0.0379573495512046
Cys	9634.35511421321	-0.658623518774443	0.0717940614147204	-9.17378827435164	4.56681513744571e-20	1.25587416279757e-19
Gln	27309.326245475	0.115897861064369	0.0646661634363686	1.79224891203593	0.0730931028266588	0.0765737267707854
Glu	20126.3116364463	0.139801144558804	0.0715386722568173	1.95420379143927	0.0506771211209799	0.0557448332330779
Gly	59762.2757450459	-0.000625048429960437	0.0640964087789874	-0.0097516918945597	0.992219398912505	0.992219398912505
His	21445.0137800111	0.850819855927637	0.0585554887933108	14.5301469334644	7.80528336683733e-48	3.43432468140843e-47
Ile	10383.562827252	1.86465761023153	0.0987870437774079	18.8755279936615	1.81302894316975e-79	1.32955455832448e-78
Leu	36122.9041392065	-0.295827729253792	0.0624861189346184	-4.73429514102688	2.19817664604963e-06	3.45427758664941e-06
Lys	12765.2307544695	0.390493410193332	0.0854934157319381	4.56752612876894	4.93514175054129e-06	7.23820790079389e-06
Met	2587.28047638216	0.343309807022251	0.0759203859411828	4.52197130936901	6.12663654107218e-06	8.42412524397425e-06
Phe	5550.47620442309	0.51684532952387	0.0793237978029926	6.51564024717399	7.23802594043755e-11	1.32697142241355e-10
Pro	29015.6428608243	0.532224810063206	0.0814577086063588	6.53375621741537	6.41403178193344e-11	1.28280635638669e-10
SeC	101.318038798676	-2.43493249347	0.243039882657868	-10.0186540037863	1.26209994284127e-23	3.96659982035827e-23
Ser	36911.7184590474	-0.408094479001248	0.0621834572340154	-6.56274992021532	5.28243996595151e-11	1.16213679250933e-10
Thr	8071.60535110119	-0.168317503832097	0.0578830582043803	-2.90788892386752	0.00363877558614712	0.00444739238306871
Trp	4841.48742883032	-1.50257070939273	0.0664014739835704	-22.6285746271914	2.26816781093174e-113	4.98996918404983e-112
Tyr	2056.15631565574	1.34497999229921	0.0781489572083299	17.2104662729376	2.21640020843002e-66	1.21902011463651e-65
Val	17565.3320813571	-0.53273942377994	0.0652770791281451	-8.16120192409531	3.31707101265807e-16	8.10839580871974e-16
iMet	16963.4564286542	1.35139081027969	0.0641652144354262	21.06111266315	1.8087649265927e-98	1.98964141925197e-97
