baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	3052.3552473888	-0.0137529645016693	0.0902081153953715	-0.152458173429205	0.87882557750209	0.87882557750209
Arg	9119.49478090074	0.370469945450238	0.112225027509608	3.30113481521331	0.000962946002100462	0.0105924060231051
Asn	2252.3507944453	-0.170985430927263	0.101204747424598	-1.68950010032538	0.0911236326518273	0.247468793437632
Asp	10671.501246973	-0.0375007612163716	0.0695595341016044	-0.539117486922712	0.589805790185877	0.682933020215227
Cys	2656.2357058982	0.0408406003822374	0.106380849811143	0.383909326300188	0.701045653691406	0.734428780057664
Gln	9354.82488144354	-0.186592594305362	0.0858131046035163	-2.17440675485963	0.0296746012500827	0.11915165257668
Glu	7491.98154805503	0.0357953815115679	0.0925394566693476	0.386812099399591	0.698895319151138	0.734428780057664
Gly	21764.8246857369	0.109478074368437	0.0668003436755066	1.63888489706347	0.101237233679031	0.247468793437632
His	8910.04860582159	-0.247409274790812	0.0844485416292143	-2.929704527961	0.00339284449934745	0.0248808596618813
Ile	6825.79067555919	0.479987765804511	0.224476200374918	2.13825681743917	0.0324959052481854	0.11915165257668
Leu	11984.2090458393	0.149376940444796	0.113611347917008	1.31480651522518	0.188574937255055	0.276576574640747
Lys	4948.64877517246	-0.0759345737665256	0.136940289071036	-0.554508642282299	0.579230792758683	0.682933020215227
Met	1132.35054934816	0.304835510906338	0.183020963717126	1.66557701760049	0.0957976918191717	0.247468793437632
Phe	2171.63816879504	-0.158660665160823	0.118930832814204	-1.3340583043649	0.182184749264018	0.276576574640747
Pro	13082.8139042234	0.234650239163363	0.165720305013234	1.41594139079472	0.156792665025561	0.276576574640747
SeC	15.5435966267328	0.796024298035886	0.53227963294121	1.49550020097013	0.134783947497919	0.269567894995837
Ser	11320.9212721415	0.0522561788846714	0.0676548090629923	0.77239415214396	0.439881016353377	0.569257785869076
Thr	2598.7099192189	-0.0723941378336006	0.0677933847365131	-1.06786433683713	0.285581711610458	0.392674853464379
Trp	824.294428298383	-0.218014212931439	0.0951853614767546	-2.2904174502156	0.0219971289069896	0.11915165257668
Tyr	981.685690381409	-0.155576938615938	0.112114836159066	-1.38765701262953	0.1652415118067	0.276576574640747
Val	5240.93249440675	0.115761599543895	0.0755453108055182	1.53234659186073	0.125436929397187	0.269567894995837
iMet	11050.680587771	0.6677541297949	0.113679313608162	5.87401620048978	4.25361776445217e-09	9.35795908179477e-08
