baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	8304.73562011865	0.210619645638626	0.0994319900991851	2.11822820229717	0.0341557458172905	0.0683114916345809
Arg	19838.4029000634	0.478402572270073	0.108277174374153	4.41831415564049	9.94737616181653e-06	7.29474251866545e-05
Asn	5457.39248092247	-0.293243286917973	0.0906521739981586	-3.23481803011067	0.00121720279144931	0.00535569228237695
Asp	21392.6728192852	0.000570879342718772	0.075668567129101	0.00754447142820576	0.993980439832677	0.993980439832677
Cys	7237.41911351129	-0.0598976322224046	0.131113779413958	-0.456837050156971	0.647788173089041	0.750070516208363
Gln	19751.893224584	-0.302550677125418	0.0847239037022832	-3.57101908557673	0.000355594979598961	0.00195577238779429
Glu	15100.9872937635	-0.0728358241144235	0.104098267643906	-0.699683345006055	0.484125079896095	0.6265148092773
Gly	43369.4544992867	0.275748457108927	0.0987736393696516	2.79172114006008	0.00524285183304322	0.0170688061510202
His	15231.2218172151	-0.411248977459884	0.078687537868405	-5.22635462489176	1.72884630443036e-07	3.80346186974678e-06
Ile	8751.18020430303	0.532268998276135	0.266092166063091	2.00031818354973	0.0454659167520366	0.0833541807120671
Leu	26382.5244998167	0.287924470641	0.130362401451557	2.20864656860431	0.0271992335619922	0.0683114916345809
Lys	9545.51235962841	-0.297460877590726	0.193526059360791	-1.53705851590854	0.124278980481373	0.182275838039347
Met	1991.63035213887	0.395677393057188	0.185245265344122	2.13596494529648	0.0326822712068852	0.0683114916345809
Phe	3860.80679489549	-0.0171562344431586	0.145476257546853	-0.117931508085663	0.906121927601055	0.949270590820153
Pro	22240.439877134	0.267417592381354	0.170517899596419	1.5682669855439	0.116818837306399	0.182275838039347
SeC	81.4724338132763	0.721765549338234	0.339006294876714	2.12906238098238	0.0332490996506724	0.0683114916345809
Ser	27027.0826725738	0.0848087460985722	0.0968191791601522	0.875949856570121	0.381057294041476	0.523953779307029
Thr	5734.38174009043	0.0237500608850283	0.0656917725026818	0.361537830084563	0.717697430339522	0.789467173373474
Trp	3404.18151546425	-0.140059913653935	0.0864191274090354	-1.62070502044078	0.105080916417577	0.177829243168208
Tyr	1441.59850454989	-0.0916536521221193	0.150950219338498	-0.607177998970581	0.543732791333678	0.66456230051894
Val	12614.6964026277	0.296716593341584	0.106721331694375	2.78029320502963	0.00543098377532462	0.0170688061510202
iMet	15145.6308267253	0.582096589668227	0.118058601729287	4.93057330124067	8.19886443440246e-07	9.01875087784271e-06
