baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	10558.8676736551	-0.0264445855545777	0.0577700033837548	-0.457756344220918	0.647127503044801	0.950328171496896
Arg	32133.9170085743	0.0306351731317968	0.0858333281963075	0.356914659789631	0.721155694602035	0.950328171496896
Asn	6753.0026578081	-0.00566544124999865	0.0577937336189321	-0.0980286424710716	0.921909549494117	0.950328171496896
Asp	32044.9568812573	0.0445911428858249	0.0823311668054666	0.541607080477622	0.588089213116791	0.950328171496896
Cys	14531.1893649485	-0.0218326580969365	0.0674774265865444	-0.323554990185267	0.746274968897635	0.950328171496896
Gln	19886.7100622176	0.127568684503999	0.0917460503611551	1.39045423755932	0.164390986391729	0.723320340123607
Glu	20588.3024759788	0.0213544506092617	0.161114148141148	0.13254236735655	0.894555314298672	0.950328171496896
Gly	56811.3837551406	0.0427114258510333	0.0623650812413642	0.684861223634622	0.493431497011475	0.950328171496896
His	8592.47361862453	0.0478168538323589	0.0772933640295016	0.618641126993877	0.536152802031991	0.950328171496896
Ile	2075.87130265956	-0.0647248350532602	0.0725685393908464	-0.891913156811097	0.37243948204296	0.950328171496896
Leu	33911.6161133629	0.123464632568946	0.0462500424960087	2.66950311623174	0.00759635682233973	0.167119850091474
Lys	6991.23271298147	-0.0400705504678825	0.0956255298496449	-0.419036114423489	0.675189738979982	0.950328171496896
Met	1038.59379749952	-0.146550395650345	0.100227168452638	-1.46218233950805	0.143691249820015	0.723320340123607
Phe	1273.02510211538	-0.0127350971837633	0.116287044510859	-0.109514324982041	0.912794560414117	0.950328171496896
Pro	25434.8197563792	0.0473421495881592	0.0706393063938086	0.670195561154443	0.50273313315272	0.950328171496896
SeC	264.437663501025	-0.487699935099959	0.334323388164721	-1.45876702727022	0.144629240719295	0.723320340123607
Ser	38288.3609871082	0.0414068143994604	0.055412138270183	0.747251697770003	0.454911643097717	0.950328171496896
Thr	7643.47292457145	0.00759204981072382	0.0623367047364079	0.121791003275309	0.903064539253499	0.950328171496896
Trp	3203.50174582241	0.0265003383994325	0.0974116519511656	0.272044851602738	0.785587532778511	0.950328171496896
Tyr	587.787480030686	-0.37222294747187	0.206320357059697	-1.80410189656744	0.0712153344759829	0.723320340123607
Val	13119.234331791	-0.0563305057106517	0.0572807530207584	-0.983410704992613	0.325405343745671	0.950328171496896
iMet	7737.42844519875	0.00387798459495726	0.0622522678210858	0.0622946718359348	0.950328171496896	0.950328171496896
