baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	361.041658448868	-0.872644558709774	0.543537256466896	-1.60549170885202	0.108385636375467	0.238448400026028
Arg	1691.75866343899	1.09687194572506	0.603139056773578	1.81860540020845	0.0689716533651403	0.168597374892565
Asn	225.185871237808	-0.103971213968225	0.545688098763843	-0.190532309947299	0.848892027211404	0.848892027211404
Asp	614.258058506258	-1.84064059623061	0.450508333035458	-4.08569711425457	4.39446745753065e-05	0.000322260946885581
Cys	544.617816462321	0.537574017978738	0.711006629393746	0.75607455086194	0.449604499255403	0.526227672236476
Gln	763.890433117267	-0.413997873725658	0.562767042463618	-0.735646977323519	0.461945565563289	0.526227672236476
Glu	651.510354957926	-1.06299908754491	0.525654211988233	-2.02224021667063	0.0431515414063288	0.118666738867404
Gly	1854.86095160213	-2.50153552756741	0.510542697080946	-4.89975773205662	9.59549018898172e-07	2.11100784157598e-05
His	401.476714518009	-0.97317710130537	0.868293171864501	-1.12079322150565	0.262375890168371	0.412304970264582
Ile	279.058041032121	0.401284606410873	0.521521705524705	0.769449482466197	0.441626523119103	0.526227672236476
Leu	3444.76956777109	2.1818746093404	0.475063204803275	4.59280909841023	4.37319079287994e-06	4.81050987216793e-05
Lys	482.867061879056	-1.42470933283733	0.481368886350893	-2.95970382223415	0.00307934929171121	0.0169364211044117
Met	152.259158741308	1.39392573126838	0.613615182099683	2.27166108651128	0.0231069882364852	0.0730167010643399
Phe	139.183026863356	-0.741898849954443	0.613489729705481	-1.20930932341868	0.226544030273077	0.383382205077515
Pro	1109.58338765151	1.44257398762784	1.36760624819817	1.05481675703693	0.291509139222038	0.424447646326055
SeC	8.98143639392898	3.2336791626622	2.11630685029024	1.52798218378337	0.126516961492565	0.25303392298513
Ser	572.833950738437	-0.29263783042168	0.412807634731712	-0.708896361889886	0.478388792942251	0.526227672236476
Thr	420.356594393717	0.287748501334983	0.486652501501659	0.591281253968858	0.554331987846562	0.580728749172589
Trp	101.323629516161	-1.01972766508938	0.81516458991817	-1.25094695930272	0.210953829537605	0.383382205077515
Tyr	122.253940773061	0.655467664607996	0.643892824398051	1.01797634601809	0.30868919732804	0.424447646326055
Val	916.972687410593	-1.7963220563396	0.79147492064951	-2.26958809366376	0.02323258670229	0.0730167010643399
iMet	2370.0837113226	1.77723647361988	0.638528847586949	2.7833299628297	0.00538040565366732	0.0236737848761362
