baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	1748.26488282908	0.158086060283321	0.191015473438791	0.827608661420711	0.407892161464368	0.604521024243608
Arg	5814.05551305721	0.156445688672442	0.0942282458117246	1.66028442241229	0.0968572480044849	0.266357432012333
Asn	1289.43490641191	0.0313803950710843	0.335104502596061	0.0936436091666327	0.925392266691273	0.925392266691273
Asp	6985.49204497866	-0.1213945772251	0.103738159444461	-1.17020176447311	0.241919782936652	0.532223522460635
Cys	1225.9918099935	-0.31026393279506	0.117155207680116	-2.64831533261598	0.00808940312819222	0.0355933737640458
Gln	5266.98869881977	-0.0309862306872922	0.150496445657543	-0.205893438558687	0.836874150918342	0.920561566010177
Glu	4646.05271159355	0.0992204476531594	0.118391468965493	0.838070922847309	0.401990872337139	0.604521024243608
Gly	12344.5447942326	-0.55307613210932	0.266057219753707	-2.07878640775586	0.0376369867462362	0.138002284736199
His	3350.41304957854	-0.422894284234785	0.25268834395407	-1.67358049689721	0.0942130741436953	0.266357432012333
Ile	2124.99259827101	0.135761269870383	0.130462743591362	1.04061332862674	0.298055042733646	0.596110085467293
Leu	7483.00732208906	0.468731903909593	0.169315906111001	2.76838670787551	0.00563345679008609	0.0309840123454735
Lys	2165.94485416518	0.174125863446597	0.118453755932841	1.46999022593526	0.141564401172191	0.346046313976466
Met	444.574995460418	0.678455403172877	0.176641086574301	3.84086973382321	0.000122599164373591	0.002697181616219
Phe	1104.57754250194	-0.117178491895949	0.157380794732369	-0.744553946974374	0.4565414171546	0.604521024243608
Pro	3886.84766891592	-0.210421058502762	0.073474605438333	-2.86386102038163	0.0041851159279516	0.0306908501383117
SeC	9.49922175403076	-0.440343028036527	3.74869797746427	-0.117465592235944	0.906491108661311	0.925392266691273
Ser	9620.52060505005	0.170163076685163	0.317802096539004	0.535437237634078	0.592347546375303	0.723980334458703
Thr	1939.14953040815	0.15625229052131	0.214881139752191	0.727156839830181	0.467129882370061	0.604521024243608
Trp	399.20746014844	-0.160986206613527	0.200648797039168	-0.802328291966293	0.422363080895449	0.604521024243608
Tyr	443.702088655347	0.296551884242803	0.350684077508412	0.845638291734788	0.397754557291042	0.604521024243608
Val	4026.33368371725	0.105623630445942	0.284600037446093	0.371130065174177	0.710540658822621	0.822731289163035
iMet	19810.339657727	1.83015012488197	0.542104696690409	3.37600861246025	0.000735456169951063	0.00809001786946169
