baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	2809.40494111613	0.0702917520311507	0.241243828268311	0.291372229232626	0.770766651433548	0.936614730642516
Arg	8131.70262147583	0.0790822573070703	0.209764701299762	0.377004599997302	0.706170186423131	0.936614730642516
Asn	1648.23055953001	0.0304947868190092	0.433899329621248	0.0702807880473753	0.943970173607827	0.943970173607827
Asp	11205.660687529	-0.288473341034351	0.183871040903638	-1.56888947610587	0.116673694474587	0.366688754062989
Cys	2838.90335660032	-0.23236681352666	0.351218804165889	-0.661601288913072	0.508226781292344	0.918994334869623
Gln	6438.05281390246	-0.101121416394644	0.296302191194052	-0.341277990510771	0.732894315414223	0.936614730642516
Glu	7973.23015839223	0.0505058299164006	0.255124951234918	0.197965074258437	0.84307238961059	0.936614730642516
Gly	29399.2260733707	-0.508881339980773	0.280217897551969	-1.81602012015095	0.0693672857958726	0.366688754062989
His	5092.41316403825	-0.339662711170201	0.39086787397702	-0.868996235771912	0.38484918967113	0.79015128963499
Ile	2413.95670356109	-0.161385062812712	0.295379194239434	-0.546365708757042	0.584814576735214	0.918994334869623
Leu	16430.0171656923	0.543688484164374	0.226833351923426	2.39686306953623	0.0165361020029455	0.181897122032401
Lys	2955.60396277823	0.389155960228871	0.232382403538626	1.67463609250511	0.0940056532807111	0.366688754062989
Met	546.247618139877	0.475957032471029	0.222233490111926	2.14169805024129	0.0322177877266341	0.236263776661983
Phe	1816.61189334907	-0.246561462037163	0.229909751991803	-1.07242715848762	0.283528214950576	0.693068969879186
Pro	4360.48021708282	-0.304996668538233	0.358630276194074	-0.850448745641272	0.395075644817495	0.79015128963499
SeC	138.589113411189	0.325779894905557	0.541500787362878	0.601624046554232	0.547424418601495	0.918994334869623
Ser	21547.8193952063	-0.0577023175665759	0.433225763913202	-0.133192257647301	0.894041333795128	0.936614730642516
Thr	2239.96015560641	0.0492034149704785	0.324699064229632	0.151535438167081	0.879553357985032	0.936614730642516
Trp	728.630192427559	-0.339246374750077	0.262828521177641	-1.29075175414767	0.196789772224759	0.541171873618088
Tyr	386.910704294167	0.879787062029488	0.552425835240621	1.59258855380339	0.11125252298508	0.366688754062989
Val	11418.0992814368	-0.186723806980579	0.43822052341832	-0.426095531820483	0.670038235908394	0.936614730642516
iMet	22079.9983055122	1.63661464633353	0.533421188044214	3.06814705342726	0.0021539059701927	0.0473859313442394
