baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	6199.08123523287	-0.441497812061194	0.089711671977734	-4.92129733320288	8.59724004419962e-07	2.10154756635991e-06
Arg	20633.9391328236	-0.0881831797783459	0.0899391125561298	-0.98047642757551	0.326850999862511	0.359536099848763
Asn	4519.50637087227	-0.0061863371737039	0.0926919199218869	-0.0667408462238913	0.946788016201931	0.946788016201931
Asp	19530.9696682728	-0.232808580071704	0.0895777561984781	-2.59895525353268	0.00935079614237323	0.0121010303018948
Cys	7488.88525793355	-0.92616282359708	0.0986299306541804	-9.39028160573715	5.98400509291034e-21	2.19413520073379e-20
Gln	14373.7312335332	0.326606309085162	0.110563632517791	2.95401210730488	0.00313671699372699	0.00431298586637462
Glu	11520.8924750477	-0.53624857318966	0.228893943272949	-2.34278183826909	0.019140571483455	0.0233940318131116
Gly	33826.0609922545	-0.311164423183994	0.0976425872332986	-3.18676954391351	0.0014387136044042	0.0021101132864595
His	8454.49272216856	0.990344636676141	0.0998350583862574	9.91980825858328	3.41411400537249e-23	1.5022101623639e-22
Ile	3906.78812065157	2.16737668458825	0.104679341492491	20.7049132492271	3.12797523588893e-95	3.44077275947782e-94
Leu	24162.9209733992	0.290341693604203	0.0902509370594251	3.2170490752138	0.00129516442720438	0.00203525838560689
Lys	5929.59000910567	0.586203139625521	0.136265942502617	4.30190500178915	1.69335914896299e-05	3.10449177309881e-05
Met	2100.16348678989	2.24422120648291	0.109457001721619	20.5032220066708	2.0149998454318e-93	1.47766655331666e-92
Phe	1959.65298689493	1.83532900355524	0.118000439328491	15.5535777154696	1.50460630317012e-54	8.27533466743568e-54
Pro	14990.7802280834	-0.342578288252091	0.0905683618810502	-3.78253819697019	0.000155237262152741	0.000262709212873869
SeC	113.485157266329	-3.20139195893055	0.457969862828149	-6.99039875497629	2.74106045376065e-12	7.5379162478418e-12
Ser	22183.9725152563	-0.407650817805567	0.0892157128182919	-4.56927154340896	4.89422334773268e-06	1.07672913650119e-05
Thr	5402.60931311603	0.158227660702724	0.0933110483670177	1.6957012430122	0.0899424730162477	0.104143916124076
Trp	1807.34955084624	-0.519315202076863	0.119351144240499	-4.35115394478679	1.35422925788996e-05	2.70845851577992e-05
Tyr	854.789049300634	1.51852224124591	0.166519762686733	9.11917130282394	7.57009456349796e-20	2.37917257709936e-19
Val	9003.09912729249	0.0144921105874082	0.0900513406601162	0.160931647226734	0.872147236285394	0.913678057060889
iMet	18012.8997253642	2.57386820719985	0.0936855516770624	27.4734808209495	3.64267448665589e-166	8.01388387064296e-165
