baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	2278.59329139756	-0.164250150997477	0.0526363971305001	-3.12046720428558	0.00180564402951756	0.00794483372987725
Arg	8622.29598251083	-0.181776546480393	0.0675941725756313	-2.68923399094801	0.00716161998199001	0.0196944549504725
Asn	2256.00663292609	0.246525787719376	0.0719559437864794	3.42606565554767	0.000612392334327105	0.00436071712305979
Asp	8638.82262493764	0.140584323943677	0.0472130102382739	2.97766067518632	0.00290457356873304	0.00912865978744669
Cys	2341.29213361824	-0.0260563598014413	0.0567485495034695	-0.459154639711949	0.646123121621907	0.745246155308982
Gln	7419.46332393357	0.0408301738804051	0.0981773542513368	0.415881790579512	0.677496504826347	0.745246155308982
Glu	4774.95821335452	0.277192708240834	0.139478808098506	1.98734640781465	0.0468840222096105	0.103144848861143
Gly	14198.7199436297	0.0809374026921727	0.0732439452559396	1.10503881801219	0.269142769289991	0.455472378798447
His	5421.89077197634	0.144996846015527	0.0866833331307692	1.6727188581545	0.0943826550052101	0.18876531001042
Ile	2849.24359718663	-0.0796104235128817	0.0924932106789403	-0.860716402085154	0.389394257190704	0.591391907153362
Leu	11254.4440938787	-0.233106357632823	0.0694745648994083	-3.35527625067297	0.000792857658738144	0.00436071712305979
Lys	3953.86190043453	0.502606063872883	0.168127946517238	2.98942605488465	0.00279502091510621	0.00912865978744669
Met	1409.03532463853	-0.362635683662723	0.0636953523107823	-5.69328326960736	1.24619375816594e-08	1.37081313398253e-07
Phe	1457.28216584133	0.118242230655777	0.0475461129240623	2.48689584455887	0.0128863120261179	0.0314998738416215
Pro	6139.62692329656	0.0430690209488932	0.0515252913182865	0.835881173050405	0.403221754877292	0.591391907153362
SeC	11.2047403383576	0.358872636871313	3.74238236966668	0.0958941661814412	0.923604627941386	0.923604627941386
Ser	8973.1217538138	0.078267790710506	0.0539849915953758	1.44980648134824	0.147112491621455	0.269706234639334
Thr	2636.98542155225	0.0319227257188331	0.0747908409251748	0.42682667187511	0.669505578142314	0.745246155308982
Trp	667.834998561585	-0.0548976611652337	0.0769500129330936	-0.713419778278219	0.475586037913913	0.619795897819282
Tyr	586.110365620261	0.0237495514813354	0.110047570159318	0.21581168441023	0.829134540091174	0.868617137238373
Val	4239.3877517144	0.0669218937103398	0.0945198552705436	0.708019426381787	0.478933193769445	0.619795897819282
iMet	11786.4960060037	-0.577036305580295	0.0538855582183876	-10.7085520621626	9.28018805390422e-27	2.04164137185893e-25
