baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	9479.80243034096	-0.12047397830372	0.132529453605915	-0.909035501360754	0.363331386506617	0.491979504809521
Arg	29884.6678709648	0.0417165365340547	0.0960821148628768	0.434175877514669	0.664160728725496	0.69211544857455
Asn	6038.24936558583	-0.109556800058672	0.0715541256098405	-1.53110388988675	0.1257437186155	0.307373534393444
Asp	31181.5346743428	0.18103750180726	0.0774178359668955	2.33844694244196	0.0193640750004607	0.061982886309323
Cys	13447.5877892095	-0.0275761036282828	0.0634538131368831	-0.434585445145675	0.663863361624167	0.69211544857455
Gln	18743.850213801	0.170995052106956	0.131582532262551	1.29952699014611	0.193763137085002	0.387526274170003
Glu	18442.259056778	-0.0745455712293816	0.188253106904215	-0.395985874843018	0.69211544857455	0.69211544857455
Gly	56675.418242132	0.245786398281811	0.0977935162441996	2.51331997990602	0.0119600800715056	0.061982886309323
His	7970.97536119044	0.0484821601183245	0.0593833319035812	0.816427077501198	0.414255915123248	0.491979504809521
Ile	1832.90245203323	-0.207969475513231	0.0891960958885352	-2.33159841180854	0.0197218274620573	0.061982886309323
Leu	30796.0159376868	0.0666927047968751	0.0835785901202651	0.797963984567194	0.424891390517314	0.491979504809521
Lys	6151.17169417126	-0.196637964238026	0.17684158013894	-1.11194417106843	0.266162155285149	0.418254815448092
Met	927.18143528516	-0.257804846652417	0.106054160700042	-2.43087913713804	0.0150622380836528	0.061982886309323
Phe	1124.7027580373	-0.158777173479903	0.113397268279793	-1.40018517102317	0.161457875278683	0.355207325613102
Pro	24731.8000664691	0.179803188353214	0.0658285722655658	2.73138520501177	0.00630687082228657	0.0462503860301015
SeC	248.429896059957	-0.431918178033345	0.355746832623457	-1.21411672128789	0.224703155593155	0.411955785254118
Ser	38063.2049975021	0.233372194517217	0.0627344102820388	3.72000300103296	0.000199220410735095	0.00438284903617208
Thr	6687.05454102665	-0.164941577888643	0.0877036746600063	-1.88066895176352	0.0600169657164644	0.165046655720277
Trp	3049.28097663324	0.100867831040707	0.115423216468833	0.8738955136287	0.382175158144785	0.491979504809521
Tyr	507.791851686754	-0.608694777080857	0.189774746143686	-3.20745931400161	0.00133913000990524	0.0147304301089577
Val	13015.3692197438	0.137789488092575	0.14931793814367	0.922792598167261	0.356115298880517	0.491979504809521
iMet	7445.71473371976	0.109782275354301	0.09551511725396	1.14937068089868	0.250403164328384	0.418254815448092
