baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	5224.21491100852	-1.55343252057376	0.225488735270954	-6.8891801566367	5.6114838076642e-12	1.23452643768612e-11
Arg	9160.96891626663	-0.0766328345105061	0.0998424038330956	-0.76753795550247	0.442761735402273	0.463845627564286
Asn	2016.72500535594	0.988088481573478	0.17301355054968	5.71104678468379	1.12283370590484e-08	2.05852846082555e-08
Asp	5241.33474693881	-0.340013273127502	0.0957804125046603	-3.54992491926215	0.000385341033729812	0.000529843921378491
Cys	2237.17646195958	0.447461800718238	0.235590397447182	1.89932104859477	0.0575222770189421	0.0703050052453737
Gln	4403.38694561268	0.301567371531446	0.217031339115896	1.38951071656249	0.164677504476538	0.190679215709676
Glu	12008.2527287616	-1.5922301540407	0.20775412205232	-7.66401233492598	1.80212575312904e-14	5.6638237955484e-14
Gly	18996.1340847882	-1.39138191846599	0.137644333806288	-10.1085302968166	5.06381951419796e-24	1.85673382187258e-23
His	3080.54024936847	-0.883821433128316	0.162809326193253	-5.42856759986359	5.68081290864471e-08	9.61368338386027e-08
Ile	2630.72807342067	2.39322226265023	0.218550816208155	10.9504155791889	6.6143451557851e-28	2.91031186854544e-27
Leu	14696.4648311848	0.28690443353431	0.227217637264714	1.26268557752874	0.206702199199976	0.227372419119973
Lys	3779.59838979254	-0.10671367041137	0.176347877604137	-0.605131583442807	0.545091570277716	0.545091570277716
Met	879.547688941349	2.91225317849293	0.19748505919815	14.7467012963794	3.2307441272029e-49	3.55381853992319e-48
Phe	868.507541320683	0.983480607602326	0.192276835959272	5.1149198638293	3.13874181069872e-07	4.6034879890248e-07
Pro	4156.70955532016	0.58423551138587	0.10124012577025	5.77079005918768	7.89007248305032e-09	1.57801449661006e-08
SeC	111.86020668956	-2.44042606102236	0.468618193794646	-5.20770660067839	1.91188912791076e-07	3.00439720100262e-07
Ser	13433.8507972868	-0.386469687846319	0.155163179695951	-2.49073065274651	0.0127480720913757	0.0164975050594274
Thr	4410.66176697277	1.21028315082059	0.102201288026882	11.8421516419857	2.36311480823415e-32	1.73295085937171e-31
Trp	863.361488547447	-1.81638476679547	0.160806714383771	-11.295453512349	1.38188871208396e-29	7.60038791646178e-29
Tyr	508.404929791265	1.32406338682855	0.179612148113409	7.37179194579048	1.68349609899369e-13	4.62961427223265e-13
Val	7647.91202361549	-1.30598566342209	0.181878308661266	-7.18054655904231	6.94332786930254e-13	1.69725792360729e-12
iMet	16109.3582845007	3.18658716047478	0.11125834318003	28.6413321409836	2.0554725896202e-180	4.52203969716444e-179
