baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	6912.07949694801	-1.0932729185492	0.232745535845098	-4.69728845530604	2.63638005419859e-06	5.27276010839719e-06
Arg	12468.1225204874	0.417130107111515	0.216878788769911	1.92333288781897	0.0544382568260115	0.0748526031357658
Asn	3879.25376864509	1.186141955233	0.228879704265357	5.18238154422734	2.19070496960399e-07	4.81955093312877e-07
Asp	10088.4623655611	0.359951812439165	0.218446368104233	1.64778117193238	0.0993975840048007	0.121485936005868
Cys	3134.41909031627	-0.350933655383404	0.181779597047114	-1.9305447975685	0.0535393701727724	0.0748526031357658
Gln	8231.39829328178	0.604669344768665	0.186298199049156	3.24570687132149	0.00117159406795915	0.00198269765346933
Glu	26911.8788229288	-2.39663220898243	0.251966054961104	-9.51172652741816	1.87523946025148e-21	2.06276340627663e-20
Gly	33553.7920144587	-1.56591173766229	0.189373167419771	-8.26892087721826	1.35176939115247e-16	5.94778532107086e-16
His	4177.84287867338	-0.153852344381954	0.201329797934933	-0.764180692376582	0.444759570808034	0.465938597989369
Ile	3745.97924102653	1.70193304038982	0.235709973333182	7.22045408738007	5.18142619043063e-13	1.89985626982456e-12
Leu	21730.8798379565	-0.349962668780854	0.222271007535443	-1.57448635636858	0.115375053309975	0.133592166990498
Lys	7189.13194201298	-0.301631174664891	0.225110949710109	-1.33992226967779	0.180270617158657	0.198297678874523
Met	1170.23792951952	2.0493298334483	0.23625875844325	8.67409042082373	4.16868994695214e-18	3.05703929443157e-17
Phe	1867.74771881475	0.482768336445002	0.260715593052895	1.85170488190576	0.0640682126132422	0.0829118045583134
Pro	8471.89501221251	-0.0696892552676641	0.197949560183963	-0.352055620648508	0.724796549953368	0.724796549953368
SeC	140.890204000425	-3.52588273634962	0.364187091856937	-9.68151484549234	3.61321997715914e-22	7.9490839497501e-21
Ser	20876.7364565776	-0.514087495117862	0.220934902453716	-2.3268731622228	0.0199720169917836	0.0313845981299457
Thr	5788.69536629253	1.15040112025697	0.208425011446618	5.51949649551349	3.39972373589486e-08	9.34924027371085e-08
Trp	1049.56387345565	-1.18042315259763	0.225940438253611	-5.22448819574582	1.74637467452339e-07	4.26891587105717e-07
Tyr	925.165717197293	1.0252782430367	0.245115513725814	4.18283701203662	2.87893793123673e-05	5.278052873934e-05
Val	15964.2353737664	-1.48017495927483	0.250625008956571	-5.90593478854029	3.5065266972371e-09	1.10205124770309e-08
iMet	19375.6359515348	1.92351624736996	0.231504408510438	8.30876724873787	9.67013829635574e-17	5.31857606299566e-16
