baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	1648.35628956053	-0.0250484466368922	0.110506193286148	-0.226670070627002	0.820680301560811	0.96820110553783
Arg	5625.28103113244	0.128200118266173	0.0929745930582571	1.37887259356805	0.167934039505704	0.584122755804607
Asn	1843.24114093671	-0.29166984785927	0.12345082252314	-2.36263997191755	0.0181452877857229	0.0997990828214757
Asp	3852.35376753939	-0.320359122068444	0.0992644181303839	-3.22733088152143	0.0012495087902667	0.0137445966929337
Cys	1042.67260090002	0.0193117836748229	0.150640740143429	0.128197615442115	0.897992587101732	0.976004079034331
Gln	3687.58795809844	-0.0476392806437487	0.127668494371795	-0.373148292209148	0.709038078060926	0.96820110553783
Glu	3151.89193672577	-0.0797942235008988	0.117030128663439	-0.681826333203266	0.495348771049221	0.848174557671376
Gly	6334.7988696533	-0.0255147651539339	0.0957018230433825	-0.26660688733555	0.789771852201795	0.96820110553783
His	1397.36650135528	-0.189926976564562	0.113452782691392	-1.67406186132244	0.0941184422445972	0.414121145876228
Ile	2089.24719566265	-0.10302359122148	0.123216497049088	-0.836118488098525	0.403088248484387	0.848174557671376
Leu	7603.25301406974	0.150858078150883	0.114402400626598	1.31866182286921	0.187282195346011	0.584122755804607
Lys	2423.85876605735	-0.00805471810988113	0.107483839948655	-0.0749388755903105	0.940263345254893	0.976004079034331
Met	803.924178974391	0.340031204611101	0.12483305211159	2.72388761517376	0.00645184569437045	0.0473135350920499
Phe	771.837133211344	-0.171437174365108	0.137482931226409	-1.24697060817522	0.212408274838039	0.584122755804607
Pro	3138.60658317809	0.0204367977122646	0.0988286397318645	0.206790235782991	0.836173682055399	0.96820110553783
SeC	10.2056146002845	0.413454672625017	0.627531940526458	0.658858371859375	0.509986719551286	0.848174557671376
Ser	6648.11328961962	0.0694886880756248	0.125009247569665	0.555868381152365	0.578300834775938	0.848174557671376
Thr	3141.16641970535	0.122996802527821	0.118757468416008	1.03569741059959	0.300343330772705	0.734172586333279
Trp	243.494856607755	0.0048429278602632	0.161007147156008	0.0300789619952128	0.976004079034331	0.976004079034331
Tyr	452.905812371145	-0.0969807467270544	0.162207367143232	-0.59788127034587	0.549919158028622	0.848174557671376
Val	3099.61110980842	-0.0757232202385945	0.12465618101065	-0.607456602830831	0.543547934360065	0.848174557671376
iMet	14214.2342969579	0.543707490063704	0.122786172183817	4.42808404556944	9.50738567943171e-06	0.000209162484947498
