baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	2694.35864560404	-0.100534757960769	0.088619671116413	-1.13445194158647	0.256605021800447	0.470442539967486
Arg	10427.2204325781	-0.132543594808985	0.0899530608485258	-1.47347509421807	0.140622974695842	0.470442539967486
Asn	2607.41517652363	0.056241893651989	0.0886120449066137	0.634698067415792	0.525625354337435	0.642430988634643
Asp	10003.3146058362	-0.0394763123560551	0.0805611349919365	-0.490016834544428	0.624121986343774	0.722667563134896
Cys	2724.8237008194	0.0716317417128618	0.102691082836819	0.697545879681566	0.485461237534332	0.642430988634643
Gln	8293.62919993082	-0.215348793227161	0.0949345962624718	-2.26839109982384	0.0233053797577934	0.170906118223818
Glu	5405.42420051241	0.166359470755009	0.122858122479638	1.35407791847528	0.175711520179792	0.470442539967486
Gly	17093.9464451231	0.0257085480161408	0.0916338179509969	0.28055742509702	0.779049874734227	0.81614748781681
His	5741.74825778889	-0.11050757811483	0.0950665787974177	-1.16242300409607	0.24506368353498	0.470442539967486
Ile	3798.50844199695	0.213460504043043	0.111789439952128	1.90948719426856	0.056199272132807	0.309095996730438
Leu	17354.5221844399	0.36134327759222	0.0904653675639469	3.99427192220048	6.48933542928494e-05	0.00142765379444269
Lys	4268.40188886477	0.321114227184205	0.251790465924506	1.27532321768086	0.202194863148914	0.470442539967486
Met	1759.50169578473	-0.0920446997957862	0.0915709003468367	-1.00517412679306	0.314813011356859	0.494706160703636
Phe	1711.65111498687	0.1209717250348	0.0890137563208674	1.35902280765159	0.174139361526811	0.470442539967486
Pro	7085.85501400162	0.101320497248885	0.0837709375816444	1.20949460724534	0.226472881652364	0.470442539967486
SeC	13.5618621851059	0.39253123151064	0.584386769686623	0.671697669885877	0.501776185073751	0.642430988634643
Ser	10944.8501185589	0.011719032696419	0.0893737579933727	0.131123866328727	0.8956773215607	0.8956773215607
Thr	3143.1164557599	0.10107362944171	0.0953670498407638	1.05983806367582	0.289218276843068	0.489446314657499
Trp	763.498982666865	-0.191930863403799	0.122292200352195	-1.56944484481469	0.116544321680829	0.470442539967486
Tyr	664.021814875372	-0.102427144307354	0.130628884748684	-0.78410792914915	0.432976783209079	0.635032615373315
Val	5152.78492866609	-0.0260947742444848	0.0877623910150764	-0.297334358632071	0.766211252707478	0.81614748781681
iMet	16309.0433829607	-0.201216618599634	0.0867813818100546	-2.31866115061469	0.0204134165785444	0.170906118223818
