baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	9932.6899840219	-0.117761095116738	0.130777999197312	-0.900465642841538	0.367872501235633	0.476070295716702
Arg	32664.242452985	0.0490170508610096	0.097165355798596	0.504470450997082	0.613930821718056	0.643165622752249
Asn	6639.8761787281	-0.10935367055864	0.0836109983824225	-1.30788619528827	0.190911912478951	0.350005172878078
Asp	35283.4029731611	0.195706258799701	0.0745780015293062	2.62418212859721	0.00868573257057104	0.0382172233105126
Cys	13843.9362197636	-0.0386613634839983	0.0642810462111725	-0.601442660982682	0.547545191565643	0.602299710722208
Gln	20757.5269294437	0.183029847454638	0.131605362788359	1.39074763806531	0.164301966330012	0.350005172878078
Glu	19988.6093476757	-0.0601386747055974	0.178891295201406	-0.336174404897063	0.736739352785294	0.736739352785294
Gly	63517.7040013683	0.268807872349445	0.094047248603903	2.85822154650773	0.00426022832446197	0.0312416743793878
His	8342.79533275762	0.0585802967599598	0.0703291404413109	0.832944870253953	0.404875822087329	0.494848226995624
Ile	2007.71089616486	-0.215130487612711	0.0981792215365161	-2.19120180671525	0.0284371919266354	0.104269703730997
Leu	34563.2154924724	0.087004343976117	0.0853794932182637	1.0190309253031	0.308188285043222	0.438344681720049
Lys	6534.70130736564	-0.194840054114264	0.165871706311683	-1.1746430928259	0.240137535291264	0.406386598185216
Met	961.202452219108	-0.233274996430358	0.112278597626518	-2.07764437178241	0.0377421261489695	0.118618110753904
Phe	1198.79764203455	-0.170032792914713	0.11928674296286	-1.42541231901732	0.154038049136225	0.350005172878078
Pro	25562.0646463161	0.17562434555323	0.0654184034481189	2.68463209580638	0.00726096839852604	0.0382172233105126
SeC	272.56940448728	-0.388433833637962	0.35265175878845	-1.10146574902233	0.270694003455402	0.425376291144203
Ser	43035.7724184093	0.25567826904009	0.0661261894109759	3.86652053169196	0.000110399173547387	0.00242878181804251
Thr	7094.66284760517	-0.170554056360638	0.0916525287349815	-1.86087671245607	0.0627615890876813	0.172594369991124
Trp	3357.7401257536	0.0941215043970676	0.121223382992298	0.776430273382549	0.437494975658186	0.506573129709479
Tyr	519.881652993143	-0.622378257997136	0.202537263442377	-3.07290741179687	0.00211984248162163	0.0233182672978379
Val	14600.0017423693	0.143564649214917	0.144006048707873	0.996934854494544	0.318796132160036	0.438344681720049
iMet	8380.03315940834	0.133939237205149	0.0991724330156618	1.35056923715884	0.176833460725894	0.350005172878078
