baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	217.353439153288	-0.989341155604053	0.454263909811821	-2.17789952984354	0.0294135175305658	0.0588270350611315
Arg	1240.25546366731	1.24191630845302	0.506059976718413	2.45408917043059	0.0141241952474232	0.0310732295443311
Asn	129.382795529625	-0.499934880799797	0.481493567299556	-1.03830022819135	0.299130302496916	0.411304165933259
Asp	182.896451467106	-0.774262353630761	0.463822475113613	-1.66930753720183	0.0950564472588695	0.174270153307927
Cys	214.957985060064	0.276676861444868	0.50081522362005	0.552452977457355	0.580638042600828	0.672317733537801
Gln	375.709386374692	-0.704172936107789	0.235826624640476	-2.98597724994504	0.0028267367173251	0.00777352597264402
Glu	249.8126541912	0.444193013784086	0.371088759585942	1.19699937632095	0.231306797841338	0.363482110893531
Gly	475.463978993411	-0.890622564580521	0.26901982028536	-3.31062062132002	0.000930893219693579	0.00353144066557657
His	138.906802119984	-0.610360505581643	0.540802408301649	-1.12862016923785	0.259058098620063	0.379951877976093
Ile	241.040740489545	2.22832649663511	0.435567847812976	5.11591135072004	3.12229687846484e-07	1.71726328315566e-06
Leu	3180.0981919662	3.79652980740061	0.299260376902726	12.6863764815569	7.03666697412645e-37	7.74033367153909e-36
Lys	283.896840256262	-1.22916965283409	0.372353331855822	-3.30108407170112	0.000963120181520883	0.00353144066557657
Met	156.59198109031	3.07072625338893	0.516636032778781	5.94369354547864	2.78670365962334e-09	2.04358268372379e-08
Phe	79.6318479918526	0.177696718645034	0.584989868038617	0.303760335612007	0.761310487260201	0.761310487260201
Pro	697.509337304354	1.37116805878566	0.973165402220845	1.40897740061097	0.15884185073252	0.268809285855035
SeC	6.12577747272124	0.581843629781983	0.725279932953487	0.802233183830963	0.42241808434855	0.546658697392241
Ser	372.828579179348	0.102204943890636	0.225708475941637	0.452818368757512	0.65067953554692	0.69579793799416
Thr	210.786789503796	-0.278493739636754	0.432021131768142	-0.644629901544298	0.519167052696922	0.634537508851794
Trp	45.8114035054841	-1.96453206200187	0.624362153138849	-3.14646243710578	0.00165258487437984	0.00519383817662236
Tyr	68.5613392923893	1.38106634251185	0.557766311685503	2.47606625494902	0.0132838924335836	0.0310732295443311
Val	470.848697428162	0.152920561132849	0.352219997613326	0.434162063963013	0.664170758994425	0.69579793799416
iMet	1654.65803394546	5.61877712205643	0.396599532439014	14.1673821133928	1.45836501757405e-45	3.20840303866291e-44
