baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	772.032580163115	-0.787048355588522	0.379737243627474	-2.07261302070393	0.0382083082873707	0.0560388521548103
Arg	2932.68777646533	-0.587019413129545	0.32659687263061	-1.79738222353856	0.0722749608622985	0.0935323022923863
Asn	616.201587207639	-1.03388159579806	0.381358105283293	-2.71105184726582	0.00670701379012329	0.0194409471903201
Asp	2500.07900816285	0.51639011256525	0.348926132407499	1.47994106661571	0.138888974940656	0.169753191594135
Cys	1888.45342007379	-0.947226520362322	0.356898011485507	-2.65405379094074	0.00795311475967641	0.0194409471903201
Gln	1943.44179686068	-1.17466174475351	0.345658698972331	-3.39832831705341	0.0006779900189644	0.0042917902725523
Glu	2098.68504027105	0.904407718188681	0.345892806204808	2.61470519757838	0.00893044991307762	0.0196469898087708
Gly	7239.97084336229	0.841266441452104	0.341144975169652	2.46600859659076	0.0136628055132419	0.0231216708685631
His	1429.44941111683	-0.367737617125496	0.391077268047307	-0.940319591986646	0.347053652960555	0.38175901825661
Ile	417.86114718844	1.18192123547986	0.370336903777731	3.1914757169035	0.00141548008907702	0.0062281123919389
Leu	2872.98157140488	0.954155343368979	0.375179528742711	2.54319671056284	0.0109843370422971	0.0219686740845942
Lys	1174.26419293879	-0.630738896200297	0.342100290695042	-1.84372511031438	0.0652232116237505	0.089681915982657
Met	207.550830707665	0.903973329442666	0.420285883143289	2.15085342072856	0.0314877710334134	0.0494807830525068
Phe	280.647176340628	0.481219301914079	0.38483943879414	1.25044175155732	0.211138220848623	0.244475834666826
Pro	2641.45271599434	-0.912975125431889	0.363960105888682	-2.50844834546543	0.0121262696253412	0.0222314943131256
SeC	19.3261110050538	-4.23595061499097	1.57776883460771	-2.68477264988199	0.00725791581731437	0.0194409471903201
Ser	1549.26927775632	-0.167369630470036	0.336158953800459	-0.497888360782397	0.618562731457931	0.618562731457931
Thr	1097.45904362368	-1.15095067894015	0.342577381376239	-3.35968088236424	0.000780325504100419	0.0042917902725523
Trp	290.039353067228	-2.06035427555791	0.453447616046215	-4.5437536832213	5.5261228148976e-06	6.07873509638736e-05
Tyr	268.56153376977	0.259626731081082	0.371648176955926	0.698582011642348	0.484813288671222	0.507899635750804
Val	2414.42420841321	1.13616355175468	0.419371141797792	2.70920776018132	0.00674440917877464	0.0194409471903201
iMet	3685.19986889438	3.22513323235986	0.452301178500673	7.13049929043035	1.00005491382212e-12	2.20012081040866e-11
