baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	88.470366358536	-0.00219056838685861	0.374325417571087	-0.00585204285905219	0.995330772004334	0.995330772004334
Arg	719.324894914126	1.53240718447015	0.557511294340992	2.74865675372826	0.00598400142713511	0.0179520042814053
Asn	64.3358119655915	0.0386229825064406	0.384597351876106	0.100424462929954	0.920007349325095	0.995330772004334
Asp	272.800499790896	-2.49510433861785	0.44607140683511	-5.59350879788662	2.22525944030223e-08	2.33652241231734e-07
Cys	172.135704246083	-0.500987638731641	0.520413375211649	-0.962672488054122	0.335711907466731	0.469996670453423
Gln	181.412868403226	-0.106564310240341	0.407474907603742	-0.261523613483389	0.79368874204148	0.980439034286534
Glu	303.878599061358	-1.2908177189467	0.547152291742708	-2.35915619549975	0.0183165444242328	0.0480809291136112
Gly	833.911731605523	-2.85284966863444	0.497153729138053	-5.73836522071475	9.55947944040515e-09	2.00749068248508e-07
His	131.77889973001	-1.55453489600636	0.446977276769991	-3.4778835005662	0.000505389525610192	0.00212263600756281
Ile	167.314130070015	1.40359746415859	0.457646855014263	3.06698811273343	0.00216227455969068	0.00756796095891738
Leu	2107.03694746666	2.59674226513108	0.477208714861914	5.44152314125796	5.28269289960219e-08	3.69788502972153e-07
Lys	124.903191509286	-0.490923257768217	0.39956189730152	-1.22865383582297	0.219201621493801	0.383602837614151
Met	107.018872053269	1.99216818185667	0.416952658893515	4.77792415844853	1.77114155468514e-06	9.29849316209699e-06
Phe	51.2672726667445	0.0189449741272784	0.369857874841387	0.0512223083945499	0.959148375647783	0.995330772004334
Pro	446.343624814744	1.07050482035648	0.868712375820721	1.23228913291941	0.217841097747335	0.383602837614151
Ser	232.509006821839	0.0316243045959503	0.369532856638033	0.0855791414156362	0.931800980356175	0.995330772004334
Thr	112.201139102019	0.106317514605247	0.382459213202003	0.277983928574085	0.781024695862839	0.980439034286534
Trp	14.4477491454053	-0.643372234138532	0.490680106339633	-1.31118467169568	0.18979537974215	0.383602837614151
Tyr	53.3076565603337	0.365276178040953	0.368277622469247	0.991850049405202	0.321270678690729	0.469996670453423
Val	413.919825261035	-0.785910625407445	0.687847616008282	-1.1425650203867	0.253219235715899	0.409046457694914
iMet	1516.86361615204	0.914301692063947	0.568358971500579	1.60866941125256	0.107688647779453	0.251273511485391
