baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	4791.4280933371	-0.506913661503264	0.0734586364066262	-6.90066799902562	5.17585699862329e-12	1.13868853969712e-11
Arg	16705.6285201022	-0.267494911178971	0.0806886549205035	-3.31514896911485	0.000915942988504939	0.00111948587483937
Asn	3924.18688912343	0.0934880926201077	0.0802960937328046	1.164291913517	0.244305732525192	0.268736305777711
Asp	16959.6445223183	-0.33037660181835	0.0726198865925059	-4.54939572781491	5.380018473081e-06	7.8906937605188e-06
Cys	5964.63860366848	-0.850473389865996	0.0862068873666282	-9.86549237358529	5.87455167254845e-23	1.84628766851523e-22
Gln	11734.7887383216	-0.0128484359429884	0.0705973048754051	-0.181996125286428	0.855585766695176	0.855585766695176
Glu	10146.9130778101	-0.410492248879898	0.0999820715132285	-4.10565857125282	4.03164603698411e-05	5.21742428315591e-05
Gly	29686.5482588046	-0.333692518272293	0.0674666107811621	-4.94603944690024	7.57386175457114e-07	1.19017827571832e-06
His	6552.28823293151	0.842377375186271	0.0817739089046449	10.3012976445647	6.95171411405432e-25	2.54896184181992e-24
Ile	3675.73976453344	2.43823732060962	0.0988404185904725	24.6684236608914	2.33470960246534e-134	2.56818056271187e-133
Leu	25062.9086905906	0.544772412833907	0.0737122859439102	7.39052392498639	1.46251380459994e-13	3.57503374457762e-13
Lys	5495.90052855107	0.941206870016297	0.123560618110364	7.617369388486	2.58897659132528e-14	7.11968562614452e-14
Met	1561.29404639403	2.29307448691043	0.10437295060562	21.9700073017476	5.57595621608705e-107	4.08903455846383e-106
Phe	1709.9424999137	1.94674158618501	0.109697567819759	17.7464425590879	1.83623614297865e-70	1.00992987863826e-69
Pro	12464.0761857314	-0.299369229971383	0.0678209919972623	-4.41410868752063	1.01426995902826e-05	1.39462119366386e-05
SeC	71.5700578539661	-2.33227251478908	0.419073385785964	-5.56530811522414	2.61689604222089e-08	4.42859330221997e-08
Ser	19615.6985245967	-0.427259021985851	0.0708638036970918	-6.02929845273583	1.64672937333517e-09	3.01900385111448e-09
Thr	4572.64867545733	0.244546549330103	0.0870055437719126	2.81070077524241	0.00494337356749097	0.00572390623604217
Trp	1457.25976717209	-0.754076154465786	0.119728710881435	-6.29820657814094	3.0110905552948e-10	6.02218111058961e-10
Tyr	624.489076261893	1.84370546585379	0.16803332666024	10.9722606967231	5.19568267526049e-28	2.28610037711461e-27
Val	7583.73972167798	0.0723408709352604	0.06640636973527	1.08936644517158	0.275992322304418	0.289134813842724
iMet	13767.3654819906	2.38526949234347	0.0724379866661834	32.9284344046657	8.61330330511878e-238	1.89492672712613e-236
