baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	5586.43245366933	-0.0774064967520607	0.105350897654095	-0.734749285252552	0.462492198533241	0.732193133014513
Arg	19359.6330208179	-0.170142303590173	0.124409596113693	-1.36759790968766	0.171437971127396	0.529143085931218
Asn	4442.68647685632	0.0612488526387764	0.110293889826568	0.55532407765369	0.578673012706179	0.795675392470996
Asp	19296.3320411881	-0.0965810456522888	0.107764443763155	-0.896223673408967	0.37013331447841	0.732193133014513
Cys	6785.78652539301	0.0836408266365543	0.134390985772986	0.622369321539474	0.533699048257243	0.782758604110623
Gln	13665.3015957718	-0.35207078827197	0.143826585347939	-2.44788393898288	0.0143697935125445	0.316135457275979
Glu	11221.5616859546	0.130318155989466	0.262000577563349	0.497396445463775	0.618909511690626	0.800941721011398
Gly	33450.066550516	-0.0336954406681836	0.121642268059623	-0.277004376896916	0.781776745330137	0.839640499458096
His	7630.4589629051	-0.166401790833784	0.134631936199964	-1.235975620128	0.216467626062771	0.529143085931218
Ile	3967.59928048203	0.275803280924069	0.141592504008465	1.94786639911093	0.0514309512356825	0.414309916972939
Leu	26215.0314968497	0.222906004403156	0.116877051456229	1.90718367400494	0.0564968068599462	0.414309916972939
Lys	5884.77271321146	0.363678403054094	0.257897536750739	1.41016625298594	0.158490597976118	0.529143085931218
Met	1846.72176634039	0.0265086442059845	0.136533016085985	0.194155560068269	0.846054078596625	0.846054078596625
Phe	1890.4734167467	0.114828730066224	0.150465431403863	0.763156885903007	0.445369837716596	0.732193133014513
Pro	13896.0669907559	0.0482957456647793	0.1163476283988	0.41509866878625	0.678069673929192	0.813218598562499
SeC	94.7730083415195	0.885213970007579	0.576189785250796	1.53632360841363	0.12445903210393	0.529143085931218
Ser	22156.457932767	-0.0436004595995417	0.114082484556075	-0.382183643433106	0.702325153303976	0.813218598562499
Thr	5118.99408527647	0.0914743248441902	0.125462139444369	0.729099035368757	0.4659410846456	0.732193133014513
Trp	1701.56800202581	-0.21608813862484	0.166272488031667	-1.2996024849504	0.193737247565599	0.529143085931218
Tyr	754.665252265918	0.258142589251994	0.233626423553501	1.1049374695105	0.269186685097611	0.592210707214743
Val	8789.13254166892	0.0259906316008795	0.10336770443047	0.251438606904172	0.801475022210001	0.839640499458096
iMet	16719.4257499833	-0.204020810865863	0.119151675379378	-1.71227815484979	0.0868454204644912	0.477649812554702
