baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	5117.21133789622	-1.03935033605377	0.424513623929502	-2.4483321087155	0.0143519299277972	0.0225530327436813
Arg	9736.43208947834	-0.0849357307426436	0.298088150531929	-0.284934944884855	0.775693983040357	0.898171980362519
Asn	3112.31226060181	0.96112606617115	0.269065229139044	3.57209316583404	0.000354139373127468	0.000708278746254935
Asp	8182.45670303258	-0.0329603590034498	0.383779666520014	-0.0858835469380736	0.931558990821592	0.931558990821592
Cys	2617.60821449258	-0.0940443411565021	0.161450090714614	-0.582497914620185	0.560231345774305	0.684727200390818
Gln	5468.24622245128	0.466241332795994	0.0780295503330518	5.97518928157277	2.29823183593903e-09	8.42685006510978e-09
Glu	17984.085806483	-1.95379069168854	0.580087087682332	-3.3680989168276	0.000756884351853964	0.00138762131173227
Gly	21131.614967232	-1.15152539654484	0.125570609324931	-9.17034171240749	4.71521949966137e-20	2.074696579851e-19
His	3524.11893466453	-0.703191068925519	0.141262612970352	-4.97789934745937	6.42780650046218e-07	1.7676467876271e-06
Ile	4277.12444069853	2.70445847319393	0.145289176344788	18.6143148528555	2.45986299710932e-77	5.41169859364051e-76
Leu	17844.7784081393	0.413885893530027	0.212712503602864	1.94575253696771	0.0516844724657583	0.0668857878968637
Lys	4611.8079011387	0.0105507283520711	0.0866544227076614	0.121756374601504	0.903091964837302	0.931558990821592
Met	761.512730522484	2.09149439368724	0.193763432907824	10.7940614093176	3.67195117044235e-27	2.01957314374329e-26
Phe	1272.05163282775	0.938239293022275	0.474425187998576	1.97763381194063	0.0479700319971623	0.0659587939960982
Pro	5892.51614861831	0.0258217940006539	0.281515230910266	0.0917243231109037	0.926917071804537	0.931558990821592
SeC	143.868309530257	-2.17785171270916	0.390876539256607	-5.57171253319816	2.52247394553591e-08	7.92777525739857e-08
Ser	13689.1740855787	-0.290932765542608	0.128790239555348	-2.25896594762975	0.0238855031600307	0.0350320713013784
Thr	4029.61312315448	0.940075054768802	0.208147137887281	4.51639673891594	6.29007679402163e-06	1.53757432742751e-05
Trp	786.867915422194	-0.975449993123556	0.260434286062513	-3.74547456047863	0.000180053092896248	0.000396116804371746
Tyr	796.533916585253	0.741140229653038	0.271303458678191	2.7317758249892	0.00629939870949455	0.0106605208929908
Val	9489.28485869442	-0.79141497747749	0.0710638379329372	-11.1366765502357	8.31651876554444e-29	6.09878042806592e-28
iMet	14431.1029906921	2.50294080146283	0.174355532560718	14.3553850268055	9.85765392518644e-47	1.08434193177051e-45
