baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	1396.62870929472	-0.0834591768813413	0.126877022378458	-0.657795835028292	0.510669331060982	0.760694673170992
Arg	4329.99296119651	0.187405211412751	0.0982627575459211	1.90718453352148	0.0564966955962412	0.138103033679701
Asn	1583.21769470959	-0.33008991144137	0.123564834742326	-2.67139038489162	0.00755377393176931	0.0276971710831541
Asp	2998.77750382337	-0.456188095684381	0.10220320942935	-4.46353982650349	8.06166055112027e-06	8.8678266062323e-05
Cys	1204.18837331449	0.294641898860628	0.172806611695823	1.70503834297302	0.0881872735467734	0.194012001802901
Gln	2629.88797965623	-0.103135117074523	0.161493017119044	-0.638635149150116	0.523060309778063	0.760694673170992
Glu	3121.04720685062	-0.0317036601593779	0.123437618279833	-0.256839532398509	0.797302651024568	0.868274552813479
Gly	5608.5069464859	-0.00753674255482737	0.101392201345289	-0.0743325665566837	0.940745764336046	0.940745764336046
His	1134.55482971374	-0.0289687032434488	0.133970962747338	-0.216231208982817	0.828807527685594	0.868274552813479
Ile	2739.77977491127	-0.474279148797302	0.162820555262027	-2.91289480025446	0.00358095216922969	0.0157561895446106
Leu	8644.54382663176	-0.027270185422819	0.118741715885762	-0.229659687999244	0.818356221940759	0.868274552813479
Lys	1930.727259175	-0.0822407130252475	0.151731981301803	-0.542013043787164	0.587809520177585	0.760694673170992
Met	654.379269098045	0.571036425322753	0.156211097518724	3.65554326416729	0.000256637920714374	0.00141150856392906
Phe	654.174390123813	-0.259458365848027	0.159874637545603	-1.62288634289487	0.10461370355787	0.207747285192668
Pro	2530.80968127217	-0.0234072982462452	0.106074152829276	-0.220669198121418	0.825350016577553	0.868274552813479
SeC	20.923053000497	-0.309277127916515	0.562952625708055	-0.549383933554836	0.582741997549446	0.760694673170992
Ser	5753.75558836784	0.238685734441772	0.119848364053226	1.99156439328425	0.0464188734065945	0.127651901868135
Thr	2702.54159951461	0.467007832820783	0.110332276849499	4.23273992122736	2.30861422560752e-05	0.000169298376544552
Trp	211.096538966728	-0.195296977140959	0.19718800259347	-0.990410037996024	0.321973741041042	0.54487863868484
Tyr	393.704202973415	-0.235607276814546	0.148792710723859	-1.58345980571456	0.113316701014183	0.207747285192668
Val	2662.05729419376	-0.349719802262692	0.165100427796517	-2.11822468863445	0.0341560432480009	0.107347564493717
iMet	12884.3257749642	0.53699035319757	0.111648304399215	4.80965972647001	1.51187443973792e-06	3.32612376742342e-05
