baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	5080.68891175934	-1.25133205305308	0.236777604119601	-5.28484126573477	1.25813802048516e-07	3.07544849451929e-07
Arg	10396.4417934351	0.170177188196259	0.191834459946993	0.887104372401509	0.37502271023941	0.415540811371708
Asn	2407.02504459326	0.966127138078511	0.250187496302611	3.86161240012549	0.000112641169268051	0.00020650881032476
Asp	7171.47445196514	-0.158487920237177	0.198963450912049	-0.796568010409289	0.425701962260146	0.445973484272533
Cys	2113.86731680992	-0.26376233738079	0.251825920176389	-1.04739947816349	0.29491537230001	0.381655187682366
Gln	5932.00792826923	0.451245063835949	0.207381632320405	2.17591625057118	0.0295615234443215	0.0433569010516715
Glu	15495.843785697	-2.13276963603835	0.264654501654909	-8.0586939678031	7.71138850819456e-16	2.42357924543258e-15
Gly	23169.0553661721	-1.48198240369865	0.0815344136447946	-18.1761582312338	7.97272581310716e-74	1.75399967888358e-72
His	2948.66808891708	-0.554403669612554	0.190712903825833	-2.90700659730323	0.00364905501696553	0.00617532387486475
Ile	2482.12306007665	1.74683882754116	0.207613538948688	8.4138964943558	3.9661071999329e-17	1.74508716797048e-16
Leu	14445.7536917412	0.163496751142988	0.184172935095293	0.887734948994502	0.374683341771012	0.415540811371708
Lys	4758.01871937395	-0.161315504439866	0.182892629697196	-0.882022991888442	0.37776437397428	0.415540811371708
Met	958.612826037592	2.510295055728	0.14883555863905	16.8662319588282	7.97224312559966e-64	8.76946743815963e-63
Phe	1106.78501677342	0.59526452750017	0.218558519128733	2.72359334183424	0.00645759648091068	0.0101476516128596
Pro	5801.21135246286	-0.0163342317206427	0.257356247412137	-0.0634693421468982	0.949392771429371	0.949392771429371
SeC	101.954268780505	-3.06269752006161	0.290233881139913	-10.5525154679828	4.94550171482501e-26	2.72002594315376e-25
Ser	15384.9887575526	-0.432748654979716	0.24568518038218	-1.76139502719108	0.0781715661263695	0.107485903423758
Thr	4410.80402861469	1.14178400293036	0.166689184276371	6.84977857373928	7.39643835794386e-12	2.03402054843456e-11
Trp	858.463219374627	-1.46752673774396	0.175271309650841	-8.37288624514435	5.62238739333678e-17	2.06154204422348e-16
Tyr	601.074120880856	0.96614013114781	0.207047057901842	4.66628282931624	3.066974736509e-06	6.7473444203198e-06
Val	10192.0290121972	-1.34747589969384	0.298829456446371	-4.50918030544173	6.50785822599981e-06	1.30157164519996e-05
iMet	18393.2905141098	2.7581688197148	0.21840542713735	12.6286642958751	1.46748051694223e-36	1.07615237909097e-35
