baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	17476.3806393313	0.137702064506323	0.271550386548792	0.507095814726748	0.612087591482881	0.841620438288961
Arg	22507.1391516154	0.379169207879593	0.281822886466033	1.345416664467	0.178490716680595	0.841620438288961
Asn	4274.84364124087	-0.016857450486484	0.274173777155026	-0.0614845469957266	0.950973320832291	0.976438512832507
Asp	18190.6133640296	0.236919111436107	0.289892311572569	0.817265936274407	0.413776468824172	0.841620438288961
Cys	6169.73771909242	-0.0631439777590754	0.243229764795317	-0.2596062937125	0.795167481067538	0.971871365749213
Gln	12303.4094466456	0.131984803643783	0.207488257101179	0.636107341628601	0.524706460673038	0.841620438288961
Glu	72380.5718971734	-0.31352586473395	0.252097628634342	-1.24366844080357	0.213621615667097	0.841620438288961
Gly	90463.7755115973	-0.0793620718372519	0.116829019691143	-0.679301016537321	0.496947152484137	0.841620438288961
His	8479.75288911682	0.218412701376466	0.242255352375624	0.901580498571649	0.367279754252023	0.841620438288961
Ile	3029.21099332636	-0.10443521812618	0.205200255667481	-0.508942924005968	0.610792231588423	0.841620438288961
Leu	39312.4327564136	-0.315793857960123	0.244982305488199	-1.28904762052431	0.197381531692462	0.841620438288961
Lys	13466.1992565894	-0.119826404811938	0.221475738312913	-0.541036258529774	0.588482591280848	0.841620438288961
Met	770.099749870912	-0.105287126048081	0.205816146823008	-0.511559115615076	0.608959605313798	0.841620438288961
Phe	2486.68122247852	-0.260611743507086	0.234347774177244	-1.1120726212231	0.266106927386352	0.841620438288961
Pro	15388.9025648586	-0.0209151894124567	0.310890352008563	-0.0672751318184383	0.946362673961078	0.976438512832507
SeC	469.154465535615	0.00686522189303768	0.232449602471532	0.0295342380457651	0.976438512832507	0.976438512832507
Ser	44830.5979926247	0.0234741885407026	0.261357385065579	0.0898164348208966	0.928433087877202	0.976438512832507
Thr	6751.79710250567	0.169251074521168	0.200430188694858	0.844439031980567	0.398424118934091	0.841620438288961
Trp	2933.72307082894	0.296205584157491	0.185063779120619	1.60055946963254	0.109474525262043	0.841620438288961
Tyr	1083.45915813192	-0.0772211705821104	0.266044751781727	-0.290256319904651	0.771620152695691	0.971871365749213
Val	39726.8012465462	-0.175655868019586	0.307312389883817	-0.571587328730855	0.567601581909489	0.841620438288961
iMet	13241.3736125158	-0.246138862127245	0.248407532208214	-0.990867144563605	0.32175045742346	0.841620438288961
