baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	374.614691942124	-1.37208661584961	0.476547495612276	-2.87922322220314	0.00398656052653329	0.0109630414479665
Arg	2427.93678892991	0.413957445339221	0.388648868036752	1.06511939023601	0.28682190566705	0.450720137476794
Asn	457.219322736741	-0.16419043285695	0.396548611306647	-0.414048689556456	0.678838449132513	0.786023467416594
Asp	974.999181509326	-0.0714664121739948	0.401736555941875	-0.177893724424558	0.858806439422381	0.905386511170427
Cys	350.500154150897	-0.284450272219731	0.58073275891393	-0.489812685531469	0.624266453269386	0.785330859624123
Gln	730.113581525956	-1.25247535880626	0.396478256732769	-3.15900137658858	0.0015831074262698	0.00580472722965594
Glu	799.478243907359	-0.570930031017902	0.406660915934766	-1.40394615918655	0.160334882905554	0.271335955686322
Gly	984.933632678055	-1.7091563110143	0.375916212731347	-4.54664165345741	5.4508688170443e-06	2.99797784937437e-05
His	286.326306871722	-1.3864314919046	0.536498491022434	-2.58422253762989	0.00975987981497639	0.0238574839921645
Ile	421.226291050929	1.65550696812214	0.437287762215081	3.78585250073353	0.000153182519974949	0.000674003087889777
Leu	4086.76853358579	2.81636766571784	0.370971127874318	7.59187832717807	3.15301025475102e-14	2.31220752015075e-13
Lys	2046.9643248013	1.24497459016266	0.418338094931998	2.97600100312411	0.00292033906759455	0.0091782084981543
Met	689.86093794784	3.24941427549342	0.378729608868455	8.57977353606393	9.50601071342801e-18	1.04566117847708e-16
Phe	179.310438239184	0.258174181069387	0.556235325742416	0.464145603706124	0.642543430601555	0.785330859624123
Pro	1419.12700358486	0.900575254195507	1.06540224959155	0.845291301516178	0.397948216483807	0.58365738417625
SeC	28.1344414036678	0.608643934189444	0.860054580109113	0.707680591750615	0.479143632596277	0.658822494819881
Ser	802.691856385164	0.0118597989872453	0.372412799186634	0.031845841531622	0.974594988902984	0.974594988902984
Thr	396.61025026208	-0.845443976740159	0.435103698427886	-1.94308616496461	0.0520057483453322	0.104011496690664
Trp	118.482077180811	-1.15545323231806	0.607606255481336	-1.90164801941141	0.0572171857035074	0.104898173789764
Tyr	213.678246824753	1.17168552672992	0.544852716919444	2.15046285050122	0.0315186214808821	0.0693409672579406
Val	1185.76775015665	0.0694852576162461	0.406373172079952	0.170988791559732	0.864232578844499	0.905386511170427
iMet	2390.87850958467	4.6677113776032	0.352531057488395	13.2405678264442	5.11605581317967e-40	1.12553227889953e-38
