baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	159.346508485142	-0.541838528044507	0.453877362783546	-1.193799410311	0.232556442407078	0.384079413111682
Arg	1349.94724224709	0.997378785803049	0.431914832586815	2.30920244120715	0.020932350173811	0.0626565102863024
Asn	242.88852845503	0.412247739474571	0.451445863539807	0.913172038485674	0.361152067423069	0.441408082405974
Asp	854.614851051111	-0.835956760798743	0.423921414439256	-1.97196162384131	0.0486139875793213	0.106950772674507
Cys	299.44762533684	-1.09210600759781	0.512872327843353	-2.12939156259446	0.0332218779486005	0.0812090349854679
Gln	329.418511383722	-0.472489398820251	0.42112227402912	-1.12197674632518	0.261872327121601	0.384079413111682
Glu	740.757227547196	-1.33699190073694	0.452266888505903	-2.95620116067703	0.00311453885500679	0.0114199758016916
Gly	1654.78843230614	-3.36943935362657	0.416744716633709	-8.08513994092957	6.20928582564557e-16	1.36604288164203e-14
His	225.077931115274	-1.8032786970702	0.468147942384387	-3.85194194785026	0.000117184807136359	0.000644516439249977
Ile	310.023775608588	0.987970816494451	0.433884933341663	2.27703416407057	0.0227841855586554	0.0626565102863024
Leu	2861.93259924019	1.92828482295566	0.428886045134416	4.49603069354081	6.9233746584878e-06	5.07714141622438e-05
Lys	1251.73956968565	1.56207817922972	0.44979938317817	3.47283308436856	0.000514995533500556	0.00226598034740245
Met	480.525186988437	2.31883851774967	0.464081139503248	4.99662304792596	5.83429535962791e-07	6.4177248955907e-06
Phe	117.949227252329	0.0669560361257387	0.452110371378839	0.148096660383033	0.882266485012372	0.924279174774866
Pro	888.659414087745	0.683994340239582	0.584143135633316	1.17093619442777	0.241624425162786	0.384079413111682
SeC	18.3140584099667	0.565215555198459	0.587609425205774	0.961889872682909	0.336104926271974	0.441408082405974
Ser	519.001390387584	-0.0115953513173704	0.418909098937083	-0.0276798745761117	0.977917475314834	0.977917475314834
Thr	207.079361329943	-0.395596210603765	0.417161070706898	-0.948305674672397	0.342973862834834	0.441408082405974
Trp	48.2121187494214	-0.19050119095075	0.505627012815493	-0.376762289439361	0.706350267698807	0.776985294468688
Tyr	158.152424052902	0.545514834668395	0.42234242006723	1.2916411157126	0.19648145832622	0.384079413111682
Val	977.619300296225	-0.548279630621984	0.481341169103969	-1.13906656196191	0.25467539288215	0.384079413111682
iMet	2676.62165876696	0.301561076950938	0.500202673157732	0.602877779615233	0.546589999035176	0.632893683093362
