baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	2572.05415887136	0.283624923266218	0.336161204366657	0.843717001194651	0.398827564901841	0.626729030560036
Arg	9620.87640690057	0.377768492676228	0.308985270132715	1.22261003741042	0.221477020171876	0.442954040343753
Asn	2379.09663143124	0.164120252948809	0.295333885729061	0.555710878024245	0.578408518980247	0.732007835314527
Asp	5472.16604772702	-0.149388506265631	0.312104711324711	-0.478648674131064	0.632188585044365	0.732007835314527
Cys	3626.0290852761	-1.38934824592098	0.306980728271704	-4.52584842619596	6.0153684033987e-06	0.000132338104874771
Gln	5726.54058582124	-0.192266662001641	0.307153729162558	-0.625962323576041	0.531339654020055	0.732007835314527
Glu	4833.5328934627	0.0819260552854076	0.331266361729956	0.247311724793212	0.804666985504278	0.832825012094123
Gly	10539.0644731497	-0.751162093259334	0.276317463597755	-2.71847491461063	0.00655836286032276	0.0480946609757002
His	2966.24664385781	-0.818736773912829	0.403423241535535	-2.02947348991719	0.0424100864869806	0.155503650452262
Ile	861.005049063402	0.683266731961186	0.386016515940787	1.77004533159922	0.0767195894020409	0.236974172485381
Leu	5050.21340667517	0.145410820424577	0.301397044388488	0.482456026467032	0.629482029188343	0.732007835314527
Lys	5027.49637375598	0.778627244509538	0.341323933892752	2.281197323696	0.0225367730597648	0.0991618014629651
Met	559.64923592419	0.655003946739912	0.381716551350333	1.71594326843522	0.0861724263583205	0.236974172485381
Phe	729.696315524374	0.498498188209522	0.386490021956556	1.28980868816726	0.197117090624358	0.433657599373587
Pro	6863.11247929319	-0.73612380426232	0.308703849918337	-2.38456308354123	0.0170994160416415	0.0940467882290282
SeC	131.084487384457	-0.337292776719916	0.595461910515092	-0.56643887839635	0.571095471837136	0.732007835314527
Ser	4061.47953009447	0.069893515241531	0.29218822500749	0.239207159151397	0.810944951592929	0.832825012094123
Thr	2944.14804732427	-0.289566799504025	0.311208482566353	-0.930459212153018	0.352133373075393	0.620770717799358
Trp	964.11106749868	-0.330055784929707	0.365733951416518	-0.902447759228734	0.366819060517803	0.620770717799358
Tyr	710.927409243859	-0.0911846168803439	0.4319912291729	-0.211079787557095	0.832825012094123	0.832825012094123
Val	5167.46211656146	0.490768204661688	0.345857323535933	1.41899035025262	0.155901829387611	0.381093360725271
iMet	1412.6097917734	-0.997575587271921	0.317439775084814	-3.14256645061378	0.00167473694385812	0.0184221063824394
