baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	5106.14044936725	-0.515089823435551	0.0990173983117764	-5.20201330491118	1.97141108507072e-07	3.33623414396584e-07
Arg	18913.6738144287	-0.321089444497029	0.101301139956717	-3.16965282556761	0.00152621174328805	0.00186536990846318
Asn	5659.15686216972	0.475838239867245	0.100350489429364	4.74176302052003	2.11866366039364e-06	3.32932860919001e-06
Asp	22408.1243196807	-0.287733053895054	0.0863100088202072	-3.33371595980753	0.000856941185201079	0.00110898271026022
Cys	5722.81661423967	-0.899864332385115	0.08404315465198	-10.7071698594778	9.41975583966453e-27	2.59043285590775e-26
Gln	13906.4442234451	0.177053001198549	0.127152262788096	1.39244868566449	0.163786570290816	0.189647607705156
Glu	12886.2433390087	-0.102634615634988	0.104605666126798	-0.981157325747332	0.32651516466992	0.359166681136912
Gly	34985.715353584	-0.583900141341075	0.0822481922581729	-7.09924589598568	1.25439451117955e-12	3.06629769399445e-12
His	7891.2129377835	1.07896100606664	0.0942313842959529	11.4501236942242	2.3481021225396e-30	7.37974952798161e-30
Ile	3821.13070699716	2.34715774248512	0.106481493687558	22.0428701852385	1.11819277744623e-107	1.23001205519085e-106
Leu	21228.9814819042	-0.0211816155787689	0.0925506749461533	-0.228865057884154	0.818973799552079	0.857972551911702
Lys	9951.38713609392	1.62720335486841	0.126986786682746	12.8139580296152	1.36965882789419e-37	5.02208236894537e-37
Met	3130.97503111131	2.9597243227931	0.122153972786222	24.2294561141522	1.08887883066077e-129	2.39553342745371e-128
Phe	1977.39650925289	2.08870891538468	0.113117919480087	18.4648809400387	3.95895176669472e-76	2.90323129557613e-75
Pro	14485.0874871622	-0.455281775962461	0.0836952654363895	-5.43975544600533	5.33537584225179e-08	9.78152237746162e-08
SeC	174.724717086592	-0.846281454516166	0.18291588501204	-4.62661542194907	3.71689765724008e-06	5.45144989728545e-06
Ser	23436.1202967471	-0.584098008038233	0.0856562983497328	-6.81909000612393	9.16189894694308e-12	1.83237978938862e-11
Thr	4538.56400755565	0.447878961789149	0.105669823811872	4.23847552340511	2.25042712509708e-05	3.09433729700848e-05
Trp	1735.83229988681	-0.665357716240582	0.0952113211187695	-6.98822060677632	2.78394405001101e-12	6.12467691002422e-12
Tyr	811.310087894364	2.18676882813373	0.118851334031719	18.3991946405089	1.33331667211684e-75	7.33324169664264e-75
Val	10183.828874835	-0.0137675045622971	0.106588252193369	-0.129165309299946	0.897226845388193	0.897226845388193
iMet	12954.2132536346	1.77197426559616	0.100602423720258	17.613633947065	1.93606711618701e-69	8.51869531122285e-69
