baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	3673.78003734564	-0.107596945981347	0.0658623368625023	-1.6336642625659	0.102329366223566	0.225124605691845
Arg	14743.9076761825	-0.151709353365883	0.0666367574703832	-2.27666169731188	0.0228064354742971	0.0865615450314281
Asn	4865.72536456392	0.0684076113116244	0.0657048598240267	1.041134727246	0.297813024243055	0.467991895239087
Asp	14060.8713195907	-0.057463112194609	0.0601380033886645	-0.955520784806107	0.339314399517909	0.49639619400995
Cys	3335.96257310921	0.0245245274756668	0.0820064252115724	0.299056170445118	0.76489718763272	0.801320863234278
Gln	10570.0606980098	-0.23880119917268	0.0802357061273384	-2.97624599693419	0.00291800692813664	0.0213987174730021
Glu	8762.7921985536	0.128699085839086	0.0882566822752138	1.45823616434797	0.144775458775892	0.289550917551784
Gly	20939.8221788146	-0.024888192462133	0.0688421960657966	-0.361525254632288	0.717706829334824	0.801320863234278
His	7344.44531026334	-0.16262861070582	0.0689617590673173	-2.35824336422552	0.0183616509774388	0.0865615450314281
Ile	5961.95642697684	0.17872109890331	0.078959443974863	2.26345437488397	0.0236076940994804	0.0865615450314281
Leu	22750.0170670631	0.308520335963986	0.0724669535055328	4.25739348819777	2.0682414288579e-05	0.000455013114348737
Lys	11406.6265106573	0.118367019867852	0.0712981829072443	1.6601688155481	0.0968804962058496	0.225124605691845
Met	5590.64742918556	0.0598347605942343	0.0655054394384551	0.913431939502542	0.361015413825418	0.49639619400995
Phe	2713.00055303227	0.147629047358669	0.0676589752792745	2.18195807354906	0.0291126271761637	0.091496828267943
Pro	9812.41911408709	0.0802687513328985	0.0620863535586716	1.29285658976645	0.196060663827753	0.359444550350881
SeC	87.8547250922186	0.109311466736809	0.218572602607169	0.500115135350561	0.616994009455989	0.798462835766574
Ser	14470.8203883105	0.00643267926916623	0.0740133826648451	0.0869123804041675	0.93074115862107	0.93074115862107
Thr	4264.14979991342	0.0884588992717432	0.0741110260119595	1.19359971156611	0.232634586876263	0.393689300867522
Trp	1056.33096180087	-0.146748792174056	0.0877659863576023	-1.67204629337986	0.0945151937965449	0.225124605691845
Tyr	1025.02676006394	-0.034044464444692	0.104506829786739	-0.325763057918459	0.744603630854794	0.801320863234278
Val	7861.2942708364	-0.0279282240426932	0.066785894510667	-0.418175488212298	0.675818815869599	0.801320863234278
iMet	21608.9133556697	-0.222436462507465	0.0690708954863556	-3.22040797272428	0.00128008284211279	0.0140809112632407
