baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	6615.19371667519	0.0205344030734428	0.11475954101403	0.178934168714846	0.857989392979699	0.928976665224159
Arg	23711.8370401421	-0.188189669484916	0.128701167853495	-1.46222192559386	0.143680405203346	0.316096891447362
Asn	6775.55821316321	0.294784907475193	0.12312190678084	2.39425229175437	0.0166542886523229	0.122131450117035
Asp	25779.0652419169	0.0413855484012721	0.100046382627321	0.413663615959369	0.679120476654516	0.846748922151902
Cys	7218.06805838762	0.0926282400203849	0.109427517746434	0.846480318003956	0.397284849078481	0.624304762837612
Gln	16342.358771472	-0.0656144227765648	0.175036691183393	-0.374860963909663	0.707763871906742	0.846748922151902
Glu	15329.3107251166	0.365122934336609	0.180410777074148	2.0238421465617	0.0429863961331444	0.157616785821529
Gly	40566.0996942459	-0.0718777315113931	0.0997412228176733	-0.720642172622903	0.471129699675267	0.690990226190391
His	9191.33311967641	0.16212426973413	0.117580523824268	1.37883609003508	0.167945296594539	0.335890593189079
Ile	4825.73672467551	0.156531050586438	0.132943027967756	1.17742955745225	0.239024098226912	0.438210846749339
Leu	26989.1333653549	-0.251131422075052	0.112453365042897	-2.23320504441333	0.025535425832905	0.125739729915069
Lys	11768.06013929	0.364395162449039	0.166445956509559	2.18927013963304	0.028577211344334	0.125739729915069
Met	4163.34179275917	-0.0131254178922292	0.14725749111047	-0.089132429143335	0.928976665224159	0.928976665224159
Phe	2408.37212286716	0.223533224584115	0.151958183197552	1.47101801219558	0.141286245752016	0.316096891447362
Pro	17094.4968358075	-0.0658790285225508	0.0995985542557193	-0.661445630560123	0.508326571051391	0.698949035195663
SeC	224.594868120622	0.584125879633138	0.362367864566041	1.61196931834082	0.106968616443038	0.294163695218356
Ser	27194.0830059186	-0.118419478603026	0.105106148718364	-1.12666556663907	0.259883906081864	0.439803533369308
Thr	5659.69566207194	0.26341825608038	0.134610616955602	1.95689063788528	0.050360327506807	0.158275315021393
Trp	2115.66786672333	-0.0440110425299723	0.128155472395161	-0.343419143228363	0.731283160040279	0.846748922151902
Tyr	1010.61829550045	0.69976959418857	0.201199498976998	3.47798875119749	0.000505191124943713	0.00555710237438085
Val	12129.4013172401	-0.0148391809282999	0.128841582728314	-0.115173848489513	0.90830732659757	0.928976665224159
iMet	18104.0962063333	-0.593879769819125	0.126993288692353	-4.67646578755689	2.91861265811825e-06	6.42094784786015e-05
